"Len","P31","P50","P356","P1476","P1433","P577"
"A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Q13442814","Q57582079","10.1038/s41597-020-00583-2","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Scientific Data","2020-07-20"
"Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Q13442814","Q57582079","10.1002/2015wr017199","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Water Resources Research","2015-11-18"
"Can snow persistence explain the spatial-temporal variabilities in streamflow hydrograph flashiness across snow-dominated regions?","Q13442814","Q57582079","10.5194/egusphere-egu21-14084","Can snow persistence explain the spatial-temporal variabilities in streamflow hydrograph flashiness across snow-dominated regions?","Copernicus GmbH","2021-03-04"
"Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time","Q13442814","Q57582079","10.5194/soil-6-231-2020","Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time","SOIL","2020-06-03"
"Controls on subsurface transport of sorbing contaminant","Q13442814","Q57582079","10.2166/nh.2016.170","Controls on subsurface transport of sorbing contaminant","Hydrology Research","2016-09-18"
"Estimating rates of wetland loss using power-law functions","Q13442814","Q57582079","10.1007/s13157-017-0960-y","Estimating rates of wetland loss using power-law functions","Wetlands","2017-10-23"
"Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach","Q13442814","Q57582079","10.1029/2017wr022356","Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach","Water Resources Research","2018-07-02"
"Hillslope permeability architecture controls on subsurface transit time distribution and flow paths","Q13442814","Q57582079","10.1016/j.jhydrol.2016.04.071","Hillslope permeability architecture controls on subsurface transit time distribution and flow paths","Journal of Hydrology","2016-05-08"
"Hydrologic connectivity of geographically isolated wetlands to surface water systems","Q13442814","Q57582079","10.1016/j.envsoft.2013.12.004","Hydrologic connectivity of geographically isolated wetlands to surface water systems","Environmental Modelling & Software","2014-01-03"
"Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","Q13442814","Q57582079","10.1111/1752-1688.12735","Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","JAWRA Journal of the American Water Resources Association","2019-03-06"
"New functional topographic, lithology and climatic indices to define shallow groundwater systems in (un) gauged basins","Q13442814","Q57582079","10.5194/egusphere-egu21-13070","New functional topographic, lithology and climatic indices to define shallow groundwater systems in (un) gauged basins","Copernicus GmbH","2021-03-04"
"Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Q13442814","Q57582079","10.2166/nh.2016.148","Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Hydrology Research","2016-01-07"
"Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone","Q13442814","Q57582079","10.1002/2016wr019448","Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone","Water Resources Research","2016-12-28"
"Quantifying hydrologic connectivity of wetlands to surface water systems","Q13442814","Q57582079","10.5194/hess-21-1791-2017","Quantifying hydrologic connectivity of wetlands to surface water systems","Hydrology and Earth System Sciences","2017-03-28"
"Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","Q13442814","Q57582079","10.2166/nh.2017.201","Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","Hydrology Research","2017-04-06"
"Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","Q13442814","Q57582079","10.1002/2014wr015394","Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","Water Resources Research","2014-04-30"
"Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","Q13442814","Q57582079","10.1016/j.advwatres.2013.07.004","Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","Advances in Water Resources","2013-07-18"
"The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Q13442814","Q57582079","10.1002/hyp.14112","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Hydrological Processes","2021-02-27"
"The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Q13442814","Q57582079","10.1002/hyp.10777","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Hydrological Processes","2015-12-22"
"The importance of geology when estimating catchment-scale streamflow characteristics: Application of a new technique for hydrologic similarity and regionalization","Q13442814","Q57582079","10.5194/egusphere-egu21-13979","The importance of geology when estimating catchment-scale streamflow characteristics: Application of a new technique for hydrologic similarity and regionalization","Copernicus GmbH","2021-03-04"
