"Len","P31","P50","P356","P1476","P1433","P577"
"Limnological changes in Dom Helvécio Lake (South-East Brazil): natural and anthropogenic causes","Q13442814","Alice Guimaraes","10.1590/s1519-69842010000400010","Limnological changes in Dom Helvécio Lake (South-East Brazil): natural and anthropogenic causes","Brazilian Journal of Biology","2010-11-13"
"Renewable energy-based artificial ground freezing as an adaptation solution for sustainability of permafrost in post-climate change conditions","Q13442814","Alice Guimaraes","10.1088/1755-1315/268/1/012128","Renewable energy-based artificial ground freezing as an adaptation solution for sustainability of permafrost in post-climate change conditions","IOP Conference Series: Earth and Environmental Science","2019-07-02"
"Response to Critique of “The Insignificance of Thresholds in Environmental Impact Assessment: An Illustrative Case Study in Canada”","Q13442814","Alice Guimaraes","10.1007/s00267-019-01182-7","Response to Critique of “The Insignificance of Thresholds in Environmental Impact Assessment: An Illustrative Case Study in Canada”","Environmental Management","2019-07-17"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409v1","Scientific shortcomings in environmental impact statements internationally","PeerJ","2018-12-05"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409","Scientific shortcomings in environmental impact statements internationally","PeerJ","2018-12-05"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.1002/pan3.10081","Scientific shortcomings in environmental impact statements internationally","People and Nature","2020-03-23"
"The insignificance of thresholds in environmental impact assessment: An illustrative case study in Canada","Q13442814","Alice Guimaraes","10.1007/s00267-018-1025-6","The insignificance of thresholds in environmental impact assessment: An illustrative case study in Canada","Environmental Management","2018-03-19"
"Use of Daphnia spinulata Biraben, 1917(Crustacea, Cladocera) in the aquarium trade: a potential risk of a new bioinvasion into Brazilian continental waters","Q13442814","Alice Guimaraes","10.4322/actalb.02201003","Use of Daphnia spinulata Biraben, 1917(Crustacea, Cladocera) in the aquarium trade: a potential risk of a new bioinvasion into Brazilian continental waters","Acta Limnologica Brasiliensia","2010-06-24"
"Zooplankton in littoral waters of a tropical lake: a revisited biodiversity","Q13442814","Alice Guimaraes","10.1590/s1519-69842008000500014","Zooplankton in littoral waters of a tropical lake: a revisited biodiversity","Brazilian Journal of Biology","2009-02-04"
"Zooplankton succession during extraordinary drought–flood cycles: a case study in a South American floodplain lake","Q13442814","Alice Guimaraes","10.1016/j.limno.2011.04.003","Zooplankton succession during extraordinary drought–flood cycles: a case study in a South American floodplain lake","Limnologica","2011-05-24"
