"Len","P31","P50","P356","P1476","P1433","P577"
"10 Framing the debate on water marketization","Q13442814","Leila M. Harris","10.4324/9780203076361-10","10 Framing the debate on water marketization","Contemporary Water Governance in the Global South","2018-11-18"
"19 Participation’s limits","Q13442814","Leila M. Harris","10.4324/9780203076361-19","19 Participation’s limits","Contemporary Water Governance in the Global South","2018-11-18"
"22 Placing hegemony","Q13442814","Leila M. Harris","10.4324/9780203076361-22","22 Placing hegemony","Contemporary Water Governance in the Global South","2018-11-18"
"A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Q13442814","Leila M. Harris","10.1016/j.scitotenv.2013.08.004","A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Science of The Total Environment","2013-09-19"
"A discussion","Q13442814","Leila M. Harris","10.1111/j.1751-5823.2011.00170.x","A discussion","International Statistical Review","2012-04-10"
"Advancing human capabilities for water security: A relational approach","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.07.001","Advancing human capabilities for water security: A relational approach","Water Security","2017-07-14"
"Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.09.001","Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Water Security","2017-11-20"
"Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1177/2399654419859365","Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Environment and Planning C: Politics and Space","2019-07-09"
"Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","Q13442814","Leila M. Harris","10.1177/146499340200200121","Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","Progress in Development Studies","2007-08-24"
"Book Review: Opposing currents: The politics of water and gender in Latin America","Q13442814","Leila M. Harris","10.1017/s1743923x05242071","Book Review: Opposing currents: The politics of water and gender in Latin America","Politics & Gender","2008-04-21"
"Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance","Q13442814","Leila M. Harris","10.1007/978-3-319-42806-2_16","Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance","Global Issues in Water Policy","2016-10-31"
"Citizenshit: the right to flush and the urban sanitation imaginary","Q13442814","Leila M. Harris","10.1068/a130331p","Citizenshit: the right to flush and the urban sanitation imaginary","Environment and Planning A: Economy and Space","2014-12-09"
"Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","Q13442814","Leila M. Harris","10.1080/13549830903096452","Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","Local Environment","2009-08-22"
"Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","Q13442814","Leila M. Harris","10.1080/08941920290069272","Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","Society & Natural Resources","2002-09-30"
"Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","Q13442814","Leila M. Harris","10.1016/j.geoforum.2018.02.012","Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","Geoforum","2018-02-17"
"Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","Q13442814","Leila M. Harris","10.3138/carto.50.1.10","Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","Cartographica: The International Journal for Geographic Information and Geovisualization","2015-03-11"
"Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","Q13442814","Leila M. Harris","10.1080/07900627.2018.1509787","Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","International Journal of Water Resources Development","2018-09-26"
"Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance","Q13442814","Leila M. Harris","10.3390/ijerph110504634","Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance","International Journal of Environmental Research and Public Health","2014-04-28"
"Evolving connections, discourses and identities in rural–urban water struggles","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583312","Evolving connections, discourses and identities in rural–urban water struggles","Water International","2019-04-15"
"Exposing the myths of household water insecurity in the global North: A critical review","Q13442814","Leila M. Harris","10.1002/wat2.1486","Exposing the myths of household water insecurity in the global North: A critical review","WIREs Water","2020-10-05"
"Framing community entitlements to water in Accra, Ghana: A complex reality","Q13442814","Leila M. Harris","10.1016/j.geoforum.2017.03.011","Framing community entitlements to water in Accra, Ghana: A complex reality","Geoforum","2017-04-05"
"From needs to actions: prospects for planned adaptations in high mountain communities","Q13442814","Leila M. Harris","10.1007/s10584-020-02920-1","From needs to actions: prospects for planned adaptations in high mountain communities","Climatic Change","2020-11-20"
"Gender and emergent water governance: comparative overview of neoliberalized natures and gender dimensions of privatization, devolution and marketization","Q13442814","Leila M. Harris","10.1080/09663690903003918","Gender and emergent water governance: comparative overview of neoliberalized natures and gender dimensions of privatization, devolution and marketization","Gender, Place & Culture","2009-07-07"
"Gender and marine protected areas: a case study of Danajon Bank, Philippines","Q13442814","Leila M. Harris","10.1007/s40152-018-0107-7","Gender and marine protected areas: a case study of Danajon Bank, Philippines","Maritime Studies","2018-09-08"
"Gender and small‐scale fisheries: a case for counting women and beyond","Q13442814","Leila M. Harris","10.1111/faf.12075","Gender and small‐scale fisheries: a case for counting women and beyond","Fish and Fisheries","2014-02-03"
"Gender-sensitive analysis of water governance: Insights for engendering energy transitions","Q13442814","Leila M. Harris","10.1007/978-3-030-43513-4_4","Gender-sensitive analysis of water governance: Insights for engendering energy transitions","Engendering the Energy Transition","2020-11-18"
"Health, environment and colonial legacies: Situating the science of pesticides, bananas and bodies in Ecuador","Q13442814","Leila M. Harris","10.1016/j.socscimed.2019.112529","Health, environment and colonial legacies: Situating the science of pesticides, bananas and bodies in Ecuador","Social Science & Medicine","2019-09-04"
"Hegemonic concepts and water governance from a scientific-engineering perspective LAWRENCE A. BAkER","Q13442814","Leila M. Harris","10.4324/9780203076361-3","Hegemonic concepts and water governance from a scientific-engineering perspective LAWRENCE A. BAkER","Contemporary Water Governance in the Global South","2018-11-18"
"Household water sharing: A review of water gifts, exchanges, and transfers across cultures","Q13442814","Leila M. Harris","10.1002/wat2.1309","Household water sharing: A review of water gifts, exchanges, and transfers across cultures","WIREs Water","2018-09-07"
"Household water sharing: a missing link in international health","Q13442814","Leila M. Harris","10.1093/inthealth/ihy094","Household water sharing: a missing link in international health","International Health","2018-12-11"
"Human right to water: Contemporary challenges and contours of a global debate","Q13442814","Leila M. Harris","10.1111/j.1467-8330.2011.00929.x","Human right to water: Contemporary challenges and contours of a global debate","Antipode","2011-08-03"
"Hybrid regulatory landscapes: The human right to water, variegated neoliberal water governance, and policy transfer in Cape Town, South Africa, and Accra, Ghana","Q13442814","Leila M. Harris","10.1016/j.worlddev.2018.05.021","Hybrid regulatory landscapes: The human right to water, variegated neoliberal water governance, and policy transfer in Cape Town, South Africa, and Accra, Ghana","World Development","2018-05-26"
"Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey","Q13442814","Leila M. Harris","10.1080/00045608.2014.892356","Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey","Annals of the Association of American Geographers","2014-04-21"
"Improving fisheries estimates by including women’s catch in the Central Philippines","Q13442814","Leila M. Harris","10.1139/cjfas-2013-0177","Improving fisheries estimates by including women’s catch in the Central Philippines","Canadian Journal of Fisheries and Aquatic Sciences","2014-01-31"
"Indigenous women respond to fisheries conflict and catalyze change in governance on Canada’s Pacific Coast","Q13442814","Leila M. Harris","10.1007/s40152-018-0101-0","Indigenous women respond to fisheries conflict and catalyze change in governance on Canada’s Pacific Coast","Maritime Studies","2018-08-30"
"Intersections of gender and water: comparative approaches to everyday gendered negotiations of water access in underserved areas of Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1080/09589236.2016.1150819","Intersections of gender and water: comparative approaches to everyday gendered negotiations of water access in underserved areas of Accra, Ghana and Cape Town, South Africa","Journal of Gender Studies","2016-03-10"
"Irrigation, gender, and social geographies of the changing waterscapes of southeastern Anatolia","Q13442814","Leila M. Harris","10.1068/d03k","Irrigation, gender, and social geographies of the changing waterscapes of southeastern Anatolia","Environment and Planning D: Society and Space","2006-03-27"
"Jessica Barnes . Cultivating the Nile: The Everyday Politics of Water in Egypt. New Ecologies for the 21st Century. Duke University Press, Durham and London …","Q13442814","Leila M. Harris","10.1017/rms.2017.100","Jessica Barnes . Cultivating the Nile: The Everyday Politics of Water in Egypt. New Ecologies for the 21st Century. Duke University Press, Durham and London …","Review of Middle East Studies","2017-09-12"
"Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches","Q13442814","Leila M. Harris","10.1017/s0376892907004237","Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches","Environmental Conservation","2007-12-06"
"Microbial risk governance: challenges and opportunities in fresh water management in Canada","Q13442814","Leila M. Harris","10.1080/07011784.2015.1043648","Microbial risk governance: challenges and opportunities in fresh water management in Canada","Canadian Water Resources Journal / Revue canadienne des ressources hydriques","2015-06-29"
"Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …","Q13442814","Leila M. Harris","10.2166/wh.2014.126","Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …","Journal of Water and Health","2014-09-25"
"Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.geoforum.2008.03.002","Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Geoforum","2008-05-10"
"Multiple ontologies of water: Politics, conflict and implications for governance","Q13442814","Leila M. Harris","10.1177/0263775817700395","Multiple ontologies of water: Politics, conflict and implications for governance","Environment and Planning D: Society and Space","2017-03-28"
"Navigating Uncertain","Q13442814","Leila M. Harris","10.1038/nn.3174","Navigating Uncertain","Nature Neuroscience","2012-07-26"
"Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Q13442814","Leila M. Harris","10.1016/j.geoforum.2016.04.005","Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Geoforum","2016-05-12"
"Negotiated resilience","Q13442814","Leila M. Harris","10.1080/21693293.2017.1353196","Negotiated resilience","Resilience","2017-07-21"
"Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Q13442814","Leila M. Harris","10.1016/j.polgeo.2010.02.012","Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Political Geography","2010-03-26"
"Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Q13442814","Leila M. Harris","10.1080/13621025.2011.600095","Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Citizenship Studies","2011-10-26"
"Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Q13442814","Leila M. Harris","10.1057/9781137293688.0008","Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Global Economic Crisis and the Politics of Diversity","2013-12-20"
