"Len","P31","P50","P356","P1476","P1433","P577"
"10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs","Q13442814","Marwan Hassan","10.1016/s0928-2025(07)11127-5","10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs","Gravel-Bed Rivers VI: From Process Understanding to River Restoration","2007-12-01"
"18 Sediment storage and transport in coarse bed streams: scale considerations","Q13442814","Marwan Hassan","10.1016/s0928-2025(07)11137-8","18 Sediment storage and transport in coarse bed streams: scale considerations","Gravel-Bed Rivers VI: From Process Understanding to River Restoration","2007-12-01"
"2 Salmon-driven bed load transport and bed morphology in mountain 3 streams","Q13442814","Marwan Hassan","10.1029/2007gl032997","2 Salmon-driven bed load transport and bed morphology in mountain 3 streams","Geophysical Research Letters","2008-02-21"
"A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Q13442814","Marwan Hassan","10.1029/2011jg001891","A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Journal of Geophysical Research: Biogeosciences","2012-04-18"
"A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Q13442814","Marwan Hassan","10.1002/esp.4784","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Earth Surface Processes and Landforms","2019-12-12"
"A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Q13442814","Marwan Hassan","10.1007/s10933-010-9485-6","A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Journal of Paleolimnology","2010-12-15"
"A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Q13442814","Marwan Hassan","10.1016/j.advwatres.2015.10.013","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Advances in Water Resources","2015-11-10"
"A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Q13442814","Marwan Hassan","10.1029/2012jf002400","A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Journal of Geophysical Research: Earth Surface","2012-10-09"
"A reduced-complexity model for sediment transport and step-pool morphology","Q13442814","Marwan Hassan","10.5194/esurf-4-549-2016","A reduced-complexity model for sediment transport and step-pool morphology","Earth Surface Dynamics","2016-07-20"
"Abrupt drainage basin reorganization following a Pleistocene river capture","Q13442814","Marwan Hassan","10.1038/s41467-018-06238-6","Abrupt drainage basin reorganization following a Pleistocene river capture","Nature Communications","2018-09-10"
