"Len","P31","P50","P356","P1476","P1433","P577"
"3D printing-based integrated water quality sensing system","Q13442814","Rehan Sadiq","10.3390/s17061336","3D printing-based integrated water quality sensing system","Sensors","2017-06-08"
"A Bayesian belief approach to quality control of resin transfer molding process","Q13442814","Rehan Sadiq","10.1007/s00170-020-05715-x","A Bayesian belief approach to quality control of resin transfer molding process","The International Journal of Advanced Manufacturing Technology","2020-07-23"
"A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","Q13442814","Rehan Sadiq","10.1061/41203(425)126","A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","Water Distribution Systems Analysis 2010","2012-01-05"
"A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Q13442814","Rehan Sadiq","10.1515/jisys-2015-0108","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Journal of Intelligent Systems","2015-12-14"
"A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","Q13442814","Rehan Sadiq","10.2175/193864704790896252","A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","Proceedings of the Water Environment Federation","2012-10-24"
"A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","Q13442814","Rehan Sadiq","10.1007/s13198-014-0318-2","A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","International Journal of System Assurance Engineering and Management","2014-12-05"
"A comparison of various uncertainty models: An example of subsurface contaminant transport","Q13442814","Rehan Sadiq","10.1016/j.jher.2011.09.001","A comparison of various uncertainty models: An example of subsurface contaminant transport","Journal of Hydro-environment Research","2011-10-14"
"A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Journal of Water Supply: Research and Technology-Aqua","2014-06-25"
"A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Q13442814","Rehan Sadiq","10.1080/15732479.2015.1053093","A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Structure and Infrastructure Engineering","2015-07-17"
"A fuzzy expert system for deterioration modeling of buried metallic pipes","Q13442814","Rehan Sadiq","10.1109/nafips.2004.1336311","A fuzzy expert system for deterioration modeling of buried metallic pipes","IEEE Annual Meeting of the Fuzzy Information, 2004. Processing NAFIPS '04.","2004-11-08"
