"Len","P31","P50","P356","P1476","P1433","P577"
"A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","Q13442814","Valentina Radić","10.5194/tc-13-1051-2019","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","The Cryosphere","2019-04-02"
"Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Q13442814","Valentina Radić","10.3189/002214308786570809","Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Journal of Glaciology","2008-11-27"
"Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Q13442814","Valentina Radić","10.3390/e20030207","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Entropy","2018-03-20"
"Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","Q13442814","Valentina Radić","10.1017/jog.2018.68","Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","Journal of Glaciology","2018-09-26"
"Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Q13442814","Valentina Radić","10.1175/jcli-d-11-00011.1","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Journal of Climate","2011-05-24"
"Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","Q13442814","Valentina Radić","10.5194/tc-11-2897-2017","Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","The Cryosphere","2017-12-12"
"Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","Q13442814","Valentina Radić","10.1002/2015jd023279","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","Journal of Geophysical Research: Atmospheres","2015-08-15"
"Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula","Q13442814","Valentina Radić","10.1016/j.epsl.2016.07.054","Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula","Earth and Planetary Science Letters","2016-08-25"
"Glacier Retreat and Pacific Salmon","Q13442814","Valentina Radić","10.1093/biosci/biaa015","Glacier Retreat and Pacific Salmon","BioScience","2020-01-29"
"GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections","Q13442814","Valentina Radić","10.1017/jog.2019.22","GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections","Journal of Glaciology","2019-05-16"
"Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales","Q13442814","Valentina Radić","10.1007/978-94-017-8789-5_15","Glaciers in the Earth’s hydrological cycle: assessments of glacier mass and runoff changes on global and regional scales","The Earth's Hydrological Cycle","2014-05-02"
"Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","Valentina Radić","10.5194/tc-7-1565-2013","Global glacier changes: a revised assessment of committed mass losses and sampling uncertainties","The Cryosphere","2013-10-02"
"Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties","Q13442814","Valentina Radić","10.5194/tcd-7-1987-2013","Global glacier retreat: a revised assessment of committed mass losses and sampling uncertainties","Copernicus GmbH","2013-05-07"
"Global response of glacier runoff to twenty-first century climate change","Q13442814","Valentina Radić","10.1002/2013jf002931","Global response of glacier runoff to twenty-first century climate change","Journal of Geophysical Research: Earth Surface","2014-02-12"
"How sensitive are mountain glaciers to climate change? Insights from a block model","Q13442814","Valentina Radić","10.1017/jog.2018.15","How sensitive are mountain glaciers to climate change? Insights from a block model","Journal of Glaciology","2018-03-08"
"Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","Q13442814","Valentina Radić","10.1175/jcli-d-12-00513.1","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","Journal of Climate","2012-12-22"
"Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","Q13442814","Valentina Radić","10.1002/2016jd025405","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","Journal of Geophysical Research: Atmospheres","2016-11-16"
"Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure","Q13442814","Valentina Radić","10.31235/osf.io/yngx4","Insights from self-organizing maps for predicting accessibility demand for healthcare infrastructure","Center for Open Science","2018-10-28"
"Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","Q13442814","Valentina Radić","10.1029/2005jf000440","Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","Journal of Geophysical Research: Earth Surface","2006-07-12"
"Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","Q13442814","Valentina Radić","10.1002/2015jf003667","Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","Journal of Geophysical Research: Earth Surface","2015-11-06"
"Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Q13442814","Valentina Radić","10.1029/2008gl037020","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Geophysical Research Letters","2009-04-01"
"Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Q13442814","Valentina Radić","10.1029/2019ef001470","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Earth's Future","2020-04-25"
"Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Q13442814","Valentina Radić","10.1029/2020wr028048","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Water Resources Research","2021-01-16"
"Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Valentina Radić","10.1002/2015wr017840","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Water Resources Research","2015-10-12"
"Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra","Q13442814","Valentina Radić","10.1016/j.jvolgeores.2016.04.014","Principal component analysis vs. self-organizing maps combined with hierarchical clustering for pattern recognition in volcano seismic spectra","Journal of Volcanology and Geothermal Research","2016-04-28"
"Projected deglaciation of western Canada in the twenty-first century","Q13442814","Valentina Radić","10.1038/ngeo2407","Projected deglaciation of western Canada in the twenty-first century","Nature Geoscience","2015-04-07"
"Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models","Q13442814","Valentina Radić","10.1007/s00382-013-1719-7","Regional and global projections of twenty-first century glacier mass changes in response to climate scenarios from global climate models","Climate Dynamics","2013-04-01"
"Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data","Q13442814","Valentina Radić","10.1029/2009jf001373","Regional and global volumes of glaciers derived from statistical upscaling of glacier inventory data","Journal of Geophysical Research","2010-03-10"
"Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94","Q13442814","Valentina Radić","10.1038/ngeo1052","Regionally differentiated contribution of mountain glaciers and ice caps to future sea-level rise, Nat. Geosci., 4, 91–94","Nature Geoscience","2011-01-10"
"Significant total mass contained in small glaciers","Q13442814","Valentina Radić","10.5194/tcd-6-737-2012","Significant total mass contained in small glaciers","Copernicus GmbH","2012-02-17"
"Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Q13442814","Valentina Radić","10.3390/w11040776","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Water","2019-04-15"
"Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Q13442814","Valentina Radić","10.3389/feart.2017.00067","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Frontiers in Earth Science","2017-09-01"
"The Randolph Glacier Inventory: a globally complete inventory of glaciers","Q13442814","Valentina Radić","10.3189/2014jog13j176","The Randolph Glacier Inventory: a globally complete inventory of glaciers","Journal of Glaciology","2014-05-06"
"The multimillennial sea-level commitment of global warming","Q13442814","Valentina Radić","10.1073/pnas.1219414110","The multimillennial sea-level commitment of global warming","Proceedings of the National Academy of Sciences","2013-07-16"
"The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Q13442814","Valentina Radić","10.1002/2016gl072394","The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Geophysical Research Letters","2017-03-20"
