"Len","P31","P50","P356","P1476","P577"
"A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Q13442814","Q57582079","10.1038/s41597-020-00583-2","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","2020-07-20T10:04:16Z"
"Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Q13442814","Q57582079","10.1002/2015wr017199","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","2015-11-18T23:39:11Z"
"Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time","Q13442814","Q57582079","10.5194/soil-6-231-2020","Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time","2020-06-03T12:36:54Z"
"Controls on subsurface transport of sorbing contaminant","Q13442814","Q57582079","10.2166/nh.2016.170","Controls on subsurface transport of sorbing contaminant","2016-09-18T00:28:03Z"
"Estimating rates of wetland loss using power-law functions","Q13442814","Q57582079","10.1007/s13157-017-0960-y","Estimating rates of wetland loss using power-law functions","2017-10-23T21:22:13Z"
"Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach","Q13442814","Q57582079","10.1029/2017wr022356","Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach","2018-07-02T21:54:53Z"
"Hillslope permeability architecture controls on subsurface transit time distribution and flow paths","Q13442814","Q57582079","10.1016/j.jhydrol.2016.04.071","Hillslope permeability architecture controls on subsurface transit time distribution and flow paths","2016-05-08T12:57:08Z"
"Hydrologic connectivity of geographically isolated wetlands to surface water systems","Q13442814","Q57582079","10.1016/j.envsoft.2013.12.004","Hydrologic connectivity of geographically isolated wetlands to surface water systems","2014-01-03T01:21:47Z"
"Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","Q13442814","Q57582079","10.1111/1752-1688.12735","Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","2019-03-06T01:10:46Z"
"Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Q13442814","Q57582079","10.2166/nh.2016.148","Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","2016-01-07T03:23:29Z"
"Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone","Q13442814","Q57582079","10.1002/2016wr019448","Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone","2016-12-28T00:48:18Z"
"Quantifying hydrologic connectivity of wetlands to surface water systems","Q13442814","Q57582079","10.5194/hess-21-1791-2017","Quantifying hydrologic connectivity of wetlands to surface water systems","2017-03-28T10:16:10Z"
"Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","Q13442814","Q57582079","10.2166/nh.2017.201","Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","2017-04-06T00:40:14Z"
"Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","Q13442814","Q57582079","10.1002/2014wr015394","Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","2014-04-30T16:50:54Z"
"Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","Q13442814","Q57582079","10.1016/j.advwatres.2013.07.004","Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","2013-07-18T16:22:42Z"
"The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Q13442814","Q57582079","10.1002/hyp.14112","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","2021-02-27T03:45:07Z"
"The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Q13442814","Q57582079","10.1002/hyp.10777","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","2015-12-22T03:38:40Z"
