"Len","P31","P50","P356","P1476","P1433","P577"
"A chloroperoxidase-like catalyst in soil: detection and characterization of some properties","Q13442814","Gunilla Öberg","10.1016/0038-0717(93)90239-8","A chloroperoxidase-like catalyst in soil: detection and characterization of some properties","Soil Biology and Biochemistry","2002-12-28"
"A decision support system for the design and evaluation of sustainable wastewater solutions","Q13442814","Gunilla Öberg","10.1109/tc.2013.140","A decision support system for the design and evaluation of sustainable wastewater solutions","IEEE Transactions on Computers","2013-07-01"
"Academic Snobbishness and Interdisciplinary Studies","Q13442814","Gunilla Öberg","10.36941/ajis","Academic Snobbishness and Interdisciplinary Studies","Richtmann Publishing","2020-01-25"
"Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring","Q13442814","Gunilla Öberg","10.1016/0045-6535(96)00089-6","Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring","Chemosphere","2002-07-26"
"Anchoring your Canoe","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch9","Anchoring your Canoe","Interdisciplinary Environmental Studies","2011-06-27"
"Automated analysis of aspects of written argumentation","Q13442814","Gunilla Öberg","10.1145/3027385.3029484","Automated analysis of aspects of written argumentation","Proceedings of the Seventh International Learning Analytics & Knowledge Conference","2017-02-27"
"Beauty is in the Eye of the Beholder","Q13442814","Gunilla Öberg","10.5005/jp/books/11837_19","Beauty is in the Eye of the Beholder","The Eye in History","2013-12-11"
"Beyond CP Snow","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch2","Beyond CP Snow","Interdisciplinary Environmental Studies","2011-06-27"
"Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada","Q13442814","Gunilla Öberg","10.2175/193864716821125556","Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada","Proceedings of the Water Environment Federation","2018-06-21"
"Chemical characterization of organohalogens in a coniferous forest soil","Q13442814","Gunilla Öberg","10.1007/978-94-011-0061-8_8","Chemical characterization of organohalogens in a coniferous forest soil","Environment & Chemistry","2011-09-21"
"Chloride and organic chlorine in soil","Q13442814","Gunilla Öberg","10.1002/(sici)1521-401x(199805)26:3<137::aid-aheh137>3.0.co;2-1","Chloride and organic chlorine in soil","Acta hydrochimica et hydrobiologica","2002-08-25"
"Chloride imbalances in soil lysimeters","Q13442814","Gunilla Öberg","10.1016/s0045-6535(03)00192-9","Chloride imbalances in soil lysimeters","Chemosphere","2003-05-12"
"Chloride retention and release in a boreal forest soil: effects of soil water residence time and nitrogen and chloride loads","Q13442814","Gunilla Öberg","10.1021/es0523237.s001","Chloride retention and release in a boreal forest soil: effects of soil water residence time and nitrogen and chloride loads","American Chemical Society (ACS)","2020-04-08"
"Chloride retention in forest soil by microbial uptake and by natural chlorination of organic matter","Q13442814","Gunilla Öberg","10.1016/j.gca.2007.04.028","Chloride retention in forest soil by microbial uptake and by natural chlorination of organic matter","Geochimica et Cosmochimica Acta","2007-05-24"
"Chlorination and biodegradation of lignin","Q13442814","Gunilla Öberg","10.1016/s0038-0717(00)00001-8","Chlorination and biodegradation of lignin","Soil Biology and Biochemistry","2002-07-26"
