"Len","P31","P50","P356","P1476","P1433","P577"
"A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Q13442814","Q56794616","10.1007/s00027-013-0308-5","A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Aquatic Sciences","2013-09-05"
"A healthy Fraser River? How will we know when we achieve this state?","Q13442814","Q56794616","10.1007/bf00662799","A healthy Fraser River? How will we know when we achieve this state?","Journal of Aquatic Ecosystem Health","2004-11-27"
"A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Q13442814","Q56794616","10.2478/remc-2014-0001","A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Riparian Ecology and Conservation","2014-06-05"
"A test of the umbrella species approach in restored floodplain ponds","Q13442814","Q56794616","10.1111/1365-2664.12248","A test of the umbrella species approach in restored floodplain ponds","Journal of Applied Ecology","2014-03-07"
"Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Q13442814","Q56794616","10.1898/1051-1733-90.2.163","Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Northwestern Naturalist","2009-08-14"
"Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Q13442814","Q56794616","10.1139/z06-141","Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Canadian Journal of Zoology","2006-12-08"
"An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01027.x","An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Journal of Animal Ecology","2005-12-20"
"Aquatic Insects","Q13442814","Q56794616","10.1080/01650427909360994","Aquatic Insects","Aquatic Insects","2008-09-30"
"Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","Q13442814","Q56794616","10.4039/n07-ls04","Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","The Canadian Entomologist","2009-04-15"
"Artificial light as a disturbance to light‐naïve streams","Q13442814","Q56794616","10.1111/fwb.12426","Artificial light as a disturbance to light‐naïve streams","Freshwater Biology","2014-08-14"
"Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Q13442814","Q56794616","10.1111/j.1600-0706.2010.18942.x","Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Oikos","2010-12-06"
"Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Q13442814","Q56794616","10.1016/j.foreco.2016.10.044","Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Forest Ecology and Management","2016-10-26"
"Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Q13442814","Q56794616","10.1111/j.1523-1739.2010.01606.x","Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Conservation Biology","2010-11-17"
"BRITISH MYCOLOGICAL SOCIETY","Q13442814","Q56794616","10.1016/s0007-1536(67)80110-4","BRITISH MYCOLOGICAL SOCIETY","Transactions of the British Mycological Society","2009-09-23"
"Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia","Q13442814","Q56794616","10.1899/02-075.1","Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia","Journal of the North American Benthological Society","2006-07-19"
"Biodiversity‐ecosystem function research: Insights gained from streams","Q13442814","Q56794616","10.1002/rra.1286","Biodiversity‐ecosystem function research: Insights gained from streams","River Research and Applications","2009-06-16"
"Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams","Q13442814","Q56794616","10.1111/j.1365-2664.2011.02038.x","Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams","Journal of Applied Ecology","2011-07-19"
"Biological diversity in headwater streams","Q13442814","Q56794616","10.3390/w11020366","Biological diversity in headwater streams","Water","2019-02-22"
"Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)","Q13442814","Q56794616","10.2307/1467499","Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)","Journal of the North American Benthological Society","2006-05-08"
"Catchment‐scale effects of forestry practices on benthic invertebrate communities in Pacific coastal streams","Q13442814","Q56794616","10.1111/j.1365-2664.2009.01718.x","Catchment‐scale effects of forestry practices on benthic invertebrate communities in Pacific coastal streams","Journal of Applied Ecology","2009-10-10"
"Causes and consequences of invertebrate drift in running waters: from individuals to populations and trophic fluxes","Q13442814","Q56794616","10.1139/cjfas-2015-0363","Causes and consequences of invertebrate drift in running waters: from individuals to populations and trophic fluxes","Canadian Journal of Fisheries and Aquatic Sciences","2016-02-01"
"Changes in the productivity base and fish populations of the lower Fraser River (Canada) associated with historical changes in human occupation","Q13442814","Q56794616","10.1127/lr/10/1996/279","Changes in the productivity base and fish populations of the lower Fraser River (Canada) associated with historical changes in human occupation","River Systems","2013-07-24"
"Channel and landscape dynamics in the alluvial forest mosaic of the Carmanah River valley, British Columbia, Canada","Q13442814","Q56794616","10.1016/j.geomorph.2013.04.006","Channel and landscape dynamics in the alluvial forest mosaic of the Carmanah River valley, British Columbia, Canada","Geomorphology","2013-04-17"
"Characteristics, main impacts, and stewardship of natural and artificial freshwater environments: consequences for biodiversity conservation","Q13442814","Q56794616","10.3390/w12010260","Characteristics, main impacts, and stewardship of natural and artificial freshwater environments: consequences for biodiversity conservation","Water","2020-01-17"
"Chlorinated organic contaminants in benthic organisms of the lower Fraser River near Agassiz, British Columbia","Q13442814","Q56794616","10.2166/wqrj.1996.009","Chlorinated organic contaminants in benthic organisms of the lower Fraser River near Agassiz, British Columbia","Water Quality Research Journal","2019-03-16"
"Chlorpyrifos interacts with other agricultural stressors to alter stream communities in laboratory microcosms","Q13442814","Q56794616","10.1002/eap.1637","Chlorpyrifos interacts with other agricultural stressors to alter stream communities in laboratory microcosms","Ecological Applications","2017-10-10"
"Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia","Q13442814","Q56794616","10.1139/f92-038","Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia","Canadian Journal of Fisheries and Aquatic Sciences","2008-06-16"
"Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02279.x","Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure","Freshwater Biology","2009-07-31"
"Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence","Q13442814","Q56794616","10.1139/x03-089","Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence","Canadian Journal of Forest Research","2003-08-08"
"Community responses to experimental food depletion: resource tracking by stream invertebrates","Q13442814","Q56794616","10.1007/s004420100748","Community responses to experimental food depletion: resource tracking by stream invertebrates","Oecologia","2014-12-22"
"Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream","Q13442814","Q56794616","10.1002/iroh.200610979","Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream","International Review of Hydrobiology","2007-12-03"
"Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem","Q13442814","Q56794616","10.1007/s00442-013-2877-3","Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem","Oecologia","2014-01-07"
"Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01000.x","Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system","Journal of Animal Ecology","2005-11-02"
"Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance","Q13442814","Q56794616","10.1111/csp2.310","Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance","Conservation Science and Practice","2020-11-26"
"Consumer responses to resource patch size and architecture: leaf packs in streams","Q13442814","Q56794616","10.1127/fal/2019/1187","Consumer responses to resource patch size and architecture: leaf packs in streams","Fundamental and Applied Limnology","2019-03-16"
"Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams","Q13442814","Q56794616","10.1007/s00027-010-0159-2","Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams","Aquatic Sciences","2010-08-07"
"Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations","Q13442814","Q56794616","10.1371/journal.pone.0036769","Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations","PLoS ONE","2012-05-10"
"Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden","Q13442814","Q56794616","10.1029/2019wr026381","Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden","Water Resources Research","2020-09-16"
