"Len","P31","P50","P356","P1476"
"Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer","Q13442814","Jongho Lee","10.1021/acs.est.6b05992.s001","Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer"
"Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212","Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation"
"Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212.s001","Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation"
"Bubble-induced damping in displacement-driven microfluidic flows","Q13442814","Jongho Lee","10.1103/physreve.86.026301","Bubble-induced damping in displacement-driven microfluidic flows"
"Capillary-driven desalination in a synthetic mangrove","Q13442814","Jongho Lee","10.1126/sciadv.aax5253","Capillary-driven desalination in a synthetic mangrove"
"Comparison of organic fouling resistance of thin-film composite membranes modified by hydrophilic silica nanoparticles and zwitterionic polymer brushes","Q13442814","Jongho Lee","10.1016/j.memsci.2017.09.017","Comparison of organic fouling resistance of thin-film composite membranes modified by hydrophilic silica nanoparticles and zwitterionic polymer brushes"
"Controlled Architecture of Dual-Functional Block Copolymer Brushes on Thin-Film Composite Membranes for Integrated “Defending” and “Attacking” Strategies against Biofouling","Q13442814","Jongho Lee","10.1021/acsami.5b06647","Controlled Architecture of Dual-Functional Block Copolymer Brushes on Thin-Film Composite Membranes for Integrated “Defending” and “Attacking” Strategies against Biofouling"
"Desalination of water by vapor-phase transport through hydrophobic nanopores","Q13442814","Jongho Lee","10.1063/1.3419751","Desalination of water by vapor-phase transport through hydrophobic nanopores"
"Development of Omniphobic Desalination Membranes Using a Charged Electrospun Nanofiber Scaffold","Q13442814","Jongho Lee","10.1021/acsami.6b02419.s001","Development of Omniphobic Desalination Membranes Using a Charged Electrospun Nanofiber Scaffold"
"Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Q13442814","Jongho Lee","10.1021/acs.estlett.9b00076.s001","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters"
"Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Q13442814","Jongho Lee","10.1021/acs.estlett.9b00076","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters"
"Dissolved methane recovery from anaerobically treated wastewaters using solvent-based membrane contactor: An experimental and modelling study","Q13442814","Jongho Lee","10.1016/j.seppur.2020.118004","Dissolved methane recovery from anaerobically treated wastewaters using solvent-based membrane contactor: An experimental and modelling study"
"Efficacy of antifouling modification of ultrafiltration membranes by grafting zwitterionic polymer brushes","Q13442814","Jongho Lee","10.1016/j.seppur.2017.08.034","Efficacy of antifouling modification of ultrafiltration membranes by grafting zwitterionic polymer brushes"
"Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.0c02547.s001","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation"
"Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.0c02547","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation"
"Engineering Surface Energy and Nanostructure of Microporous Films for Expanded Membrane Distillation Applications","Q13442814","Jongho Lee","10.1021/acs.est.6b02316.s001","Engineering Surface Energy and Nanostructure of Microporous Films for Expanded Membrane Distillation Applications"
"Enhanced water transport and salt rejection through hydrophobic zeolite pores","Q13442814","Jongho Lee","10.1088/1361-6528/aa9773","Enhanced water transport and salt rejection through hydrophobic zeolite pores"
"Harvesting low-grade heat energy using thermo-osmotic vapour transport through nanoporous membranes","Q13442814","Jongho Lee","10.1038/nenergy.2016.90","Harvesting low-grade heat energy using thermo-osmotic vapour transport through nanoporous membranes"
"Membrane desalination performance governed by molecular reflection at the liquid-vapor interface","Q13442814","Jongho Lee","10.1016/j.ijheatmasstransfer.2019.06.044","Membrane desalination performance governed by molecular reflection at the liquid-vapor interface"
"Membrane fouling and reusability in membrane distillation of shale oil and gas produced water: Effects of membrane surface wettability","Q13442814","Jongho Lee","10.1016/j.memsci.2018.09.036","Membrane fouling and reusability in membrane distillation of shale oil and gas produced water: Effects of membrane surface wettability"
"Nanofluidic transport governed by the liquid/vapour interface","Q13442814","Jongho Lee","10.1038/nnano.2014.28","Nanofluidic transport governed by the liquid/vapour interface"
"Nanostructured materials for water desalination","Q13442814","Jongho Lee","10.1201/9781315279657-15","Nanostructured materials for water desalination"
"Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.6b03882.s001","Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation"
"Recovery of dissolved methane from anaerobically treated food waste leachate using solvent-based membrane contactor","Q13442814","Jongho Lee","10.1016/j.watres.2020.115693","Recovery of dissolved methane from anaerobically treated food waste leachate using solvent-based membrane contactor"
"Role of pressure in organic fouling in forward osmosis and reverse osmosis","Q13442814","Jongho Lee","10.1016/j.memsci.2015.07.033","Role of pressure in organic fouling in forward osmosis and reverse osmosis"
"Sources of spurious force oscillations from an immersed boundary method for moving-body problems","Q13442814","Jongho Lee","10.1016/j.jcp.2011.01.004","Sources of spurious force oscillations from an immersed boundary method for moving-body problems"
"Vapor Trapping Membrane for Reverse Osmosis","Q13442814","Jongho Lee","10.1115/imece2010-39242","Vapor Trapping Membrane for Reverse Osmosis"
"Vapor-gap membranes for highly selective osmotically driven desalination","Q13442814","Jongho Lee","10.1016/j.memsci.2018.03.059","Vapor-gap membranes for highly selective osmotically driven desalination"
