"Len","P31","P50","P356","P1476","P577"
"10 Framing the debate on water marketization","Q13442814","Leila M. Harris","10.4324/9780203076361-10","10 Framing the debate on water marketization","2018-11-18T04:43:01Z"
"19 Participation’s limits","Q13442814","Leila M. Harris","10.4324/9780203076361-19","19 Participation’s limits","2018-11-18T04:43:01Z"
"22 Placing hegemony","Q13442814","Leila M. Harris","10.4324/9780203076361-22","22 Placing hegemony","2018-11-18T04:43:01Z"
"A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Q13442814","Leila M. Harris","10.1016/j.scitotenv.2013.08.004","A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","2013-09-19T08:43:31Z"
"A discussion","Q13442814","Leila M. Harris","10.1111/j.1751-5823.2011.00170.x","A discussion","2012-04-10T18:14:34Z"
"Advancing human capabilities for water security: A relational approach","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.07.001","Advancing human capabilities for water security: A relational approach","2017-07-14T17:31:23Z"
"Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.09.001","Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","2017-11-20T02:01:26Z"
"Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1177/2399654419859365","Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","2019-07-09T05:18:41Z"
"Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","Q13442814","Leila M. Harris","10.1177/146499340200200121","Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","2007-08-24T00:15:54Z"
"Book Review: Opposing currents: The politics of water and gender in Latin America","Q13442814","Leila M. Harris","10.1017/s1743923x05242071","Book Review: Opposing currents: The politics of water and gender in Latin America","2008-04-21T16:12:18Z"
"Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance","Q13442814","Leila M. Harris","10.1007/978-3-319-42806-2_16","Canadian Drinking Water Policy: Jurisdictional Variation in the Context of Decentralized Water Governance","2016-10-31T08:01:02Z"
"Citizenshit: the right to flush and the urban sanitation imaginary","Q13442814","Leila M. Harris","10.1068/a130331p","Citizenshit: the right to flush and the urban sanitation imaginary","2014-12-09T17:02:23Z"
"Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","Q13442814","Leila M. Harris","10.1080/13549830903096452","Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","2009-08-22T21:51:58Z"
"Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","Q13442814","Leila M. Harris","10.1080/08941920290069272","Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","2002-09-30T13:08:06Z"
"Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","Q13442814","Leila M. Harris","10.1016/j.geoforum.2018.02.012","Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","2018-02-17T18:03:28Z"
"Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","Q13442814","Leila M. Harris","10.3138/carto.50.1.10","Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","2015-03-11T01:13:52Z"
"Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","Q13442814","Leila M. Harris","10.1080/07900627.2018.1509787","Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","2018-09-26T17:20:05Z"
"Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance","Q13442814","Leila M. Harris","10.3390/ijerph110504634","Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance","2014-04-28T09:15:00Z"
"Evolving connections, discourses and identities in rural–urban water struggles","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583312","Evolving connections, discourses and identities in rural–urban water struggles","2019-04-15T08:31:21Z"
"Exposing the myths of household water insecurity in the global North: A critical review","Q13442814","Leila M. Harris","10.1002/wat2.1486","Exposing the myths of household water insecurity in the global North: A critical review","2020-10-05T03:20:18Z"
"Framing community entitlements to water in Accra, Ghana: A complex reality","Q13442814","Leila M. Harris","10.1016/j.geoforum.2017.03.011","Framing community entitlements to water in Accra, Ghana: A complex reality","2017-04-05T12:51:51Z"
"From needs to actions: prospects for planned adaptations in high mountain communities","Q13442814","Leila M. Harris","10.1007/s10584-020-02920-1","From needs to actions: prospects for planned adaptations in high mountain communities","2020-11-20T14:06:13Z"
"Gender and emergent water governance: comparative overview of neoliberalized natures and gender dimensions of privatization, devolution and marketization","Q13442814","Leila M. Harris","10.1080/09663690903003918","Gender and emergent water governance: comparative overview of neoliberalized natures and gender dimensions of privatization, devolution and marketization","2009-07-07T12:30:16Z"
"Gender and marine protected areas: a case study of Danajon Bank, Philippines","Q13442814","Leila M. Harris","10.1007/s40152-018-0107-7","Gender and marine protected areas: a case study of Danajon Bank, Philippines","2018-09-08T08:04:58Z"
"Gender and small‐scale fisheries: a case for counting women and beyond","Q13442814","Leila M. Harris","10.1111/faf.12075","Gender and small‐scale fisheries: a case for counting women and beyond","2014-02-03T13:29:20Z"
"Gender-sensitive analysis of water governance: Insights for engendering energy transitions","Q13442814","Leila M. Harris","10.1007/978-3-030-43513-4_4","Gender-sensitive analysis of water governance: Insights for engendering energy transitions","2020-11-18T12:04:40Z"
"Health, environment and colonial legacies: Situating the science of pesticides, bananas and bodies in Ecuador","Q13442814","Leila M. Harris","10.1016/j.socscimed.2019.112529","Health, environment and colonial legacies: Situating the science of pesticides, bananas and bodies in Ecuador","2019-09-04T14:41:03Z"
"Hegemonic concepts and water governance from a scientific-engineering perspective LAWRENCE A. BAkER","Q13442814","Leila M. Harris","10.4324/9780203076361-3","Hegemonic concepts and water governance from a scientific-engineering perspective LAWRENCE A. BAkER","2018-11-18T04:43:01Z"
"Household water sharing: A review of water gifts, exchanges, and transfers across cultures","Q13442814","Leila M. Harris","10.1002/wat2.1309","Household water sharing: A review of water gifts, exchanges, and transfers across cultures","2018-09-07T07:04:20Z"
"Household water sharing: a missing link in international health","Q13442814","Leila M. Harris","10.1093/inthealth/ihy094","Household water sharing: a missing link in international health","2018-12-11T20:17:10Z"
"Human right to water: Contemporary challenges and contours of a global debate","Q13442814","Leila M. Harris","10.1111/j.1467-8330.2011.00929.x","Human right to water: Contemporary challenges and contours of a global debate","2011-08-03T23:49:23Z"
"Hybrid regulatory landscapes: The human right to water, variegated neoliberal water governance, and policy transfer in Cape Town, South Africa, and Accra, Ghana","Q13442814","Leila M. Harris","10.1016/j.worlddev.2018.05.021","Hybrid regulatory landscapes: The human right to water, variegated neoliberal water governance, and policy transfer in Cape Town, South Africa, and Accra, Ghana","2018-05-26T04:40:20Z"
"Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey","Q13442814","Leila M. Harris","10.1080/00045608.2014.892356","Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey","2014-04-21T18:18:38Z"
"Improving fisheries estimates by including women’s catch in the Central Philippines","Q13442814","Leila M. Harris","10.1139/cjfas-2013-0177","Improving fisheries estimates by including women’s catch in the Central Philippines","2014-01-31T23:03:06Z"
"Indigenous women respond to fisheries conflict and catalyze change in governance on Canada’s Pacific Coast","Q13442814","Leila M. Harris","10.1007/s40152-018-0101-0","Indigenous women respond to fisheries conflict and catalyze change in governance on Canada’s Pacific Coast","2018-08-30T00:20:33Z"
"Intersections of gender and water: comparative approaches to everyday gendered negotiations of water access in underserved areas of Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1080/09589236.2016.1150819","Intersections of gender and water: comparative approaches to everyday gendered negotiations of water access in underserved areas of Accra, Ghana and Cape Town, South Africa","2016-03-10T14:47:22Z"
"Irrigation, gender, and social geographies of the changing waterscapes of southeastern Anatolia","Q13442814","Leila M. Harris","10.1068/d03k","Irrigation, gender, and social geographies of the changing waterscapes of southeastern Anatolia","2006-03-27T11:38:04Z"
"Jessica Barnes . Cultivating the Nile: The Everyday Politics of Water in Egypt. New Ecologies for the 21st Century. Duke University Press, Durham and London …","Q13442814","Leila M. Harris","10.1017/rms.2017.100","Jessica Barnes . Cultivating the Nile: The Everyday Politics of Water in Egypt. New Ecologies for the 21st Century. Duke University Press, Durham and London …","2017-09-12T04:03:21Z"
"Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches","Q13442814","Leila M. Harris","10.1017/s0376892907004237","Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches","2007-12-06T15:33:24Z"
"Microbial risk governance: challenges and opportunities in fresh water management in Canada","Q13442814","Leila M. Harris","10.1080/07011784.2015.1043648","Microbial risk governance: challenges and opportunities in fresh water management in Canada","2015-06-29T12:02:42Z"
"Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …","Q13442814","Leila M. Harris","10.2166/wh.2014.126","Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …","2014-09-25T12:59:44Z"
"Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.geoforum.2008.03.002","Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","2008-05-10T08:43:44Z"
"Multiple ontologies of water: Politics, conflict and implications for governance","Q13442814","Leila M. Harris","10.1177/0263775817700395","Multiple ontologies of water: Politics, conflict and implications for governance","2017-03-28T04:33:25Z"
"Navigating Uncertain","Q13442814","Leila M. Harris","10.1038/nn.3174","Navigating Uncertain","2012-07-26T10:21:02Z"
"Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Q13442814","Leila M. Harris","10.1016/j.geoforum.2016.04.005","Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","2016-05-12T19:45:15Z"
"Negotiated resilience","Q13442814","Leila M. Harris","10.1080/21693293.2017.1353196","Negotiated resilience","2017-07-21T05:34:46Z"
"Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Q13442814","Leila M. Harris","10.1016/j.polgeo.2010.02.012","Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","2010-03-26T14:29:27Z"
