"Len","P31","P50","P356","P1476","P1433","P577"
"A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation","Q13442814","Madjid Mohseni","10.2166/wst.2011.321","A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation","Water Science and Technology","2011-04-28"
"A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2020.101778","A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Journal of Water Process Engineering","2020-11-20"
"A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Q13442814","Madjid Mohseni","10.1039/c8re00306h","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Reaction Chemistry & Engineering","2019-03-11"
"A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Q13442814","Madjid Mohseni","10.1080/10934529.2013.774608","A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Journal of Environmental Science and Health, Part A","2013-07-09"
"A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2015.03.036","A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Journal of Hazardous Materials","2015-03-26"
"A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Q13442814","Madjid Mohseni","10.1016/j.watres.2004.03.002","A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Water Research","2004-05-08"
"A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Q13442814","Madjid Mohseni","10.3390/en9020078","A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Energies","2016-01-28"
"An overview of UV-based advanced oxidation processes for drinking water treatment","Q13442814","Madjid Mohseni","10.1016/b978-0-12-382182-9.00031-1","An overview of UV-based advanced oxidation processes for drinking water treatment","Comprehensive Water Quality and Purification","2013-10-22"
"Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2016-0315","Analytical quantification of electrochemical ferrates for drinking water treatments","Canadian Journal of Chemistry","2016-10-28"
"Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2019.112198","Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Journal of Photochemistry and Photobiology A: Chemistry","2019-11-06"
"Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Q13442814","Madjid Mohseni","10.1016/j.watres.2016.03.003","Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Water Research","2016-03-02"
"Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media.","Q13442814","Madjid Mohseni","10.1016/s0009-2509(99)00420-0","Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media.","Chemical Engineering Science","2002-07-26"
"Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis","Q13442814","Madjid Mohseni","10.1504/ijetm.2008.017859","Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis","International Journal of Environmental Technology and Management","2008-04-21"
"Biological Ion Exchange Provides DOC Removal in Small Communities","Q13442814","Madjid Mohseni","10.1002/opfl.1369","Biological Ion Exchange Provides DOC Removal in Small Communities","Opflow","2020-05-07"
"Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","Madjid Mohseni","10.1016/j.watres.2021.117036","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Water Research","2021-03-12"
"Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.115148","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Water Research","2019-10-05"
"Biological treatment of waste gases containing inorganic compounds","Q13442814","Madjid Mohseni","10.1007/3-540-27007-8_12","Biological treatment of waste gases containing inorganic compounds","Biotechnology for Odor and Air Pollution Control","2005-12-07"
"CFD modeling of mass transfer in annular reactors","Q13442814","Madjid Mohseni","10.1016/j.ijheatmasstransfer.2009.07.004","CFD modeling of mass transfer in annular reactors","International Journal of Heat and Mass Transfer","2009-08-27"
