"Len","P31","P50","P356","P1476","P1433","P577"
"A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands","Q13442814","Mark Johnson","10.5194/hessd-11-4017-2014","A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands","Copernicus GmbH","2014-04-10"
"A contribution to harmonize water footprint assessments","Q13442814","Mark Johnson","10.1016/j.gloenvcha.2018.10.004","A contribution to harmonize water footprint assessments","Global Environmental Change","2018-10-25"
"A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Q13442814","Mark Johnson","10.5194/hess-20-2179-2016","A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Hydrology and Earth System Sciences","2016-06-07"
"A simple, direct method to measure dissolved CO2 using soda lime","Q13442814","Mark Johnson","10.4257/oeco.2008.1201.08","A simple, direct method to measure dissolved CO2 using soda lime","Oecologia Australis","2009-08-31"
"Application of SMR to modeling watersheds in the Catskill Mountains","Q13442814","Mark Johnson","10.1023/b:enmo.0000032096.13649.92","Application of SMR to modeling watersheds in the Catskill Mountains","Environmental Modeling & Assessment","2004-06-17"
"Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Q13442814","Mark Johnson","10.1016/j.jenvman.2016.12.066","Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Journal of Environmental Management","2017-02-03"
"Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Q13442814","Mark Johnson","10.1016/j.jhydrol.2003.07.005","Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Journal of Hydrology","2003-10-15"
"Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil","Q13442814","Mark Johnson","10.1016/j.jenvman.2014.09.033","Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil","Journal of Environmental Management","2014-10-17"
"Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars","Q13442814","Mark Johnson","10.1016/j.jenvman.2017.12.052","Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars","Journal of Environmental Management","2018-02-04"
"Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil","Q13442814","Mark Johnson","10.1371/journal.pone.0098523","Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil","PLoS ONE","2014-06-04"
"Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil","Q13442814","Mark Johnson","10.1038/s41598-017-07224-6","Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil","Scientific Reports","2017-07-24"
"Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol","Q13442814","Mark Johnson","10.1111/gcbb.12489","Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol","GCB Bioenergy","2017-11-20"
"CO2 efflux from Amazonian headwater streams represents a significant fate for deep soil respiration","Q13442814","Mark Johnson","10.1029/2008gl034619","CO2 efflux from Amazonian headwater streams represents a significant fate for deep soil respiration","Geophysical Research Letters","2008-09-02"
"Carbon biogeochemistry of a flooded Pantanal forest over three annual flood cycles","Q13442814","Mark Johnson","10.1007/s10533-018-0450-1","Carbon biogeochemistry of a flooded Pantanal forest over three annual flood cycles","Biogeochemistry","2018-05-17"
"Cattle production in Southern Amazonia: implications for land and water management","Q13442814","Mark Johnson","10.1088/1748-9326/ab30a7","Cattle production in Southern Amazonia: implications for land and water management","Environmental Research Letters","2019-07-10"
"Characterization of shortwave and longwave properties of several plastic film mulches and their impact on the surface energy balance and soil temperature","Q13442814","Mark Johnson","10.1016/j.solener.2020.11.058","Characterization of shortwave and longwave properties of several plastic film mulches and their impact on the surface energy balance and soil temperature","Solar Energy","2020-12-25"
"Citizen science for water quality monitoring: Data implications of citizen perspectives","Q13442814","Mark Johnson","10.1016/j.jenvman.2017.05.083","Citizen science for water quality monitoring: Data implications of citizen perspectives","Journal of Environmental Management","2017-07-01"
"Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia","Q13442814","Mark Johnson","10.1016/j.jclepro.2019.02.021","Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia","Journal of Cleaner Production","2019-02-10"
"Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison","Q13442814","Mark Johnson","10.1002/jgrg.20047","Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison","Journal of Geophysical Research: Biogeosciences","2013-03-13"
"DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils","Q13442814","Mark Johnson","10.1007/s10533-006-9029-3","DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils","Biogeochemistry","2006-07-06"
"Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter","Q13442814","Mark Johnson","10.3390/agriculture8060071","Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter","Agriculture","2018-05-29"
"Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers","Q13442814","Mark Johnson","10.2134/ael2016.02.0011","Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers","Agricultural & Environmental Letters","2016-04-29"
"Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense","Q13442814","Mark Johnson","10.1590/0100-67622015000200012","Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense","Revista Árvore","2015-06-04"
"Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications","Q13442814","Mark Johnson","10.1002/eco.95","Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications","Ecohydrology","2009-10-23"
"Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled","Q13442814","Mark Johnson","10.1007/s10533-011-9574-2","Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled","Biogeochemistry","2011-02-22"
"Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional","Q13442814","Mark Johnson","10.1590/s0044-59672008000400015","Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional","Acta Amazonica","2009-02-04"
"Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional","Q13442814","Mark Johnson","10.1590/s0100-67622007000100010","Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional","Revista Árvore","2007-04-11"
"Double-funneling of trees: Stemflow and root-induced preferential flow","Q13442814","Mark Johnson","10.2980/i1195-6860-13-3-324.1","Double-funneling of trees: Stemflow and root-induced preferential flow","Écoscience","2007-01-13"
"Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem","Q13442814","Mark Johnson","10.1002/eco.1922","Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem","Ecohydrology","2017-10-27"
"Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems","Q13442814","Mark Johnson","10.1007/978-94-007-1363-5_24","Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems","Forest Hydrology and Biogeochemistry","2011-06-15"
"Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier","Q13442814","Mark Johnson","10.32942/osf.io/85ypg","Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier","Center for Open Science","2019-08-21"
"Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …","Q13442814","Mark Johnson","10.3133/sir20055070","Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …","Scientific Investigations Report","2018-08-15"
"Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand","Q13442814","Mark Johnson","10.1016/j.agrformet.2018.01.035","Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand","Agricultural and Forest Meteorology","2018-02-24"
"Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment","Q13442814","Mark Johnson","10.3390/w10040349","Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment","Water","2018-03-22"
"Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale","Q13442814","Mark Johnson","10.1016/j.geoderma.2019.113925","Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale","Geoderma","2019-08-30"
"Examining CO2 concentrations and flow dynamics in streams","Q13442814","Mark Johnson","10.1002/2013eo230014","Examining CO2 concentrations and flow dynamics in streams","Eos, Transactions American Geophysical Union","2013-06-11"
