"Len","P31","P50","P356","P1476","P1433","P577"
"Can mineral exploration companies create and share value with local communities? The case of Erdene Resource Development Corporation in Mongolia","Q13442814","Nadja Kunz","10.1016/j.resourpol.2019.101455","Can mineral exploration companies create and share value with local communities? The case of Erdene Resource Development Corporation in Mongolia","Resources Policy","2019-08-03"
"Catchment-based water management in the mining industry: Challenges and solutions","Q13442814","Nadja Kunz","10.1016/j.exis.2016.10.012","Catchment-based water management in the mining industry: Challenges and solutions","The Extractive Industries and Society","2016-11-03"
"Conceptualising “coupling” for sustainability implementation in the industrial sector: a review of the field and projection of future research opportunities","Q13442814","Nadja Kunz","10.1016/j.jclepro.2013.03.040","Conceptualising “coupling” for sustainability implementation in the industrial sector: a review of the field and projection of future research opportunities","Journal of Cleaner Production","2013-04-17"
"Drivers for and against municipal wastewater recycling: A review","Q13442814","Nadja Kunz","10.2166/wst.2015.496","Drivers for and against municipal wastewater recycling: A review","Water Science and Technology","2016-02-01"
"Identifying Drivers of China's Provincial Wastewater Reuse Outcomes Using Qualitative Comparative Analysis","Q13442814","Nadja Kunz","10.1111/jiec.12584","Identifying Drivers of China's Provincial Wastewater Reuse Outcomes Using Qualitative Comparative Analysis","Journal of Industrial Ecology","2017-04-28"
"Implementing an integrated approach to water management by matching problem complexity with management responses: a case study of a mine site water committee","Q13442814","Nadja Kunz","10.1016/j.jclepro.2013.03.018","Implementing an integrated approach to water management by matching problem complexity with management responses: a case study of a mine site water committee","Journal of Cleaner Production","2013-03-21"
"Improved resource governance through transparency: Evidence from Mongolia","Q13442814","Nadja Kunz","10.1016/j.exis.2018.12.007","Improved resource governance through transparency: Evidence from Mongolia","The Extractive Industries and Society","2019-01-16"
"Mining needs new business models","Q13442814","Nadja Kunz","10.1016/j.exis.2019.07.007","Mining needs new business models","The Extractive Industries and Society","2019-08-17"
"Positive steps to living green","Q13442814","Nadja Kunz","10.1126/science.1256000","Positive steps to living green","Science","2014-07-17"
"Renewable energy-based artificial ground freezing as an adaptation solution for sustainability of permafrost in post-climate change conditions","Q13442814","Nadja Kunz","10.1088/1755-1315/268/1/012128","Renewable energy-based artificial ground freezing as an adaptation solution for sustainability of permafrost in post-climate change conditions","IOP Conference Series: Earth and Environmental Science","2019-07-02"
"Sharing the benefits from water as a new approach to regional water targets for mining companies","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.02.053","Sharing the benefits from water as a new approach to regional water targets for mining companies","Journal of Cleaner Production","2014-03-05"
"Social license needs business strategy","Q13442814","Nadja Kunz","10.1016/j.exis.2020.10.007","Social license needs business strategy","The Extractive Industries and Society","2020-10-24"
"Social network analysis reveals that communication gaps may prevent effective water management in the mining sector","Q13442814","Nadja Kunz","10.1016/j.jclepro.2017.01.175","Social network analysis reveals that communication gaps may prevent effective water management in the mining sector","Journal of Cleaner Production","2017-01-31"
"Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.008","Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress","Journal of Cleaner Production","2014-09-16"
