"Len","P31","P50","P356","P1476"
"Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water","Q13442814","Nicolas Peleato","10.1007/s11157-011-9243-x","Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water"
"Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment","Q13442814","Nicolas Peleato","10.1016/j.memsci.2011.05.013","Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment"
"Characterization of UF foulants and fouling mechanisms when applying low in-line coagulant pre-treatment","Q13442814","Nicolas Peleato","10.1016/j.watres.2017.08.064","Characterization of UF foulants and fouling mechanisms when applying low in-line coagulant pre-treatment"
"Comparison of Dimensionality Reduction Techniques for Cross-Source Transfer of Fluorescence Contaminant Detection Models","Q13442814","Nicolas Peleato","10.1016/j.chemosphere.2021.130064","Comparison of Dimensionality Reduction Techniques for Cross-Source Transfer of Fluorescence Contaminant Detection Models"
"Comparison of three-dimensional fluorescence analysis methods for predicting formation of trihalomethanes and haloacetic acids","Q13442814","Nicolas Peleato","10.1016/j.jes.2014.04.014","Comparison of three-dimensional fluorescence analysis methods for predicting formation of trihalomethanes and haloacetic acids"
"Continuous organic characterization for biological and membrane filter performance monitoring","Q13442814","Nicolas Peleato","10.5942/jawwa.2017.109.0031","Continuous organic characterization for biological and membrane filter performance monitoring"
"Contributions of spatial, temporal, and treatment impacts on natural organic matter character using fluorescence-based measures","Q13442814","Nicolas Peleato","10.2166/ws.2015.013","Contributions of spatial, temporal, and treatment impacts on natural organic matter character using fluorescence-based measures"
"Fluorescence excitation emission matrices for rapid detection of polycyclic aromatic hydrocarbons and pesticides in surface waters","Q13442814","Nicolas Peleato","10.1039/c8ew00821c","Fluorescence excitation emission matrices for rapid detection of polycyclic aromatic hydrocarbons and pesticides in surface waters"
"Fluorescence spectroscopy for monitoring reduction of natural organic matter and halogenated furanone precursors by biofiltration","Q13442814","Nicolas Peleato","10.1016/j.chemosphere.2016.03.018","Fluorescence spectroscopy for monitoring reduction of natural organic matter and halogenated furanone precursors by biofiltration"
"Identifying the best coagulant for simultaneous water treatment objectives: Interactions of mononuclear and polynuclear aluminum species with different natural organic matter …","Q13442814","Nicolas Peleato","10.1016/j.jwpe.2020.101829","Identifying the best coagulant for simultaneous water treatment objectives: Interactions of mononuclear and polynuclear aluminum species with different natural organic matter …"
"Impact of low coagulant dosages on protein fouling of ultrafiltration membranes","Q13442814","Nicolas Peleato","10.1016/j.jwpe.2019.100801","Impact of low coagulant dosages on protein fouling of ultrafiltration membranes"
"Impact of operational parameters on biofiltration performance: organic carbon removal and effluent turbidity","Q13442814","Nicolas Peleato","10.2166/ws.2016.093","Impact of operational parameters on biofiltration performance: organic carbon removal and effluent turbidity"
"Integration of weather conditions for predicting microbial water quality using Bayesian belief networks","Q13442814","Nicolas Peleato","10.1016/j.watres.2019.115349","Integration of weather conditions for predicting microbial water quality using Bayesian belief networks"
"Investigation of fluorescence methods for rapid detection of municipal wastewater impact on drinking water sources","Q13442814","Nicolas Peleato","10.1016/j.saa.2016.07.031","Investigation of fluorescence methods for rapid detection of municipal wastewater impact on drinking water sources"
"Investigation of ozone and peroxone impacts on natural organic matter character and biofiltration performance using fluorescence spectroscopy","Q13442814","Nicolas Peleato","10.1016/j.chemosphere.2016.12.118","Investigation of ozone and peroxone impacts on natural organic matter character and biofiltration performance using fluorescence spectroscopy"
"Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products","Q13442814","Nicolas Peleato","10.1016/j.watres.2018.02.052","Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products"
"Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance","Q13442814","Nicolas Peleato","10.2166/aqua.2014.158","Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance"
"Towards real-time detection of wastewater in surface waters using fluorescence spectroscopy","Q13442814","Nicolas Peleato","10.1016/j.jes.2019.06.002","Towards real-time detection of wastewater in surface waters using fluorescence spectroscopy"
