"Len","P31","P50","P356","P1476","P1433","P577"
"A framework for the use of artificial neural networks for water treatment: development and application","Q13442814","Pierre Bérubé","10.2166/ws.2020.205","A framework for the use of artificial neural networks for water treatment: development and application","Water Supply","2020-09-03"
"A model for analyzing water reuse and resource recovery potential in urban areas","Q13442814","Pierre Bérubé","10.1139/l2012-109","A model for analyzing water reuse and resource recovery potential in urban areas","Canadian Journal of Civil Engineering","2012-11-09"
"Ageing of membranes for water treatment: Linking changes to performance","Q13442814","Pierre Bérubé","10.1016/j.memsci.2015.12.033","Ageing of membranes for water treatment: Linking changes to performance","Journal of Membrane Science","2015-12-23"
"Air sparging for fouling control","Q13442814","Pierre Bérubé","10.1016/b978-0-12-819809-4.00011-5","Air sparging for fouling control","Current Developments in Biotechnology and Bioengineering","2020-02-07"
"Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Q13442814","Pierre Bérubé","10.1002/ceat.201400026","Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Chemical Engineering & Technology","2014-05-12"
"Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Q13442814","Pierre Bérubé","10.1016/j.watres.2013.06.018","Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Water Research","2013-06-28"
"Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Q13442814","Pierre Bérubé","10.1016/j.ces.2010.12.034","Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Chemical Engineering Science","2010-12-29"
"Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","Pierre Bérubé","10.1016/j.watres.2021.117036","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Water Research","2021-03-12"
"Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.115148","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Water Research","2019-10-05"
"Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention","Q13442814","Pierre Bérubé","10.2166/ws.2017.016","Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention","Water Supply","2017-02-14"
