"Len","P31","P50","P356","P1476","P577"
"3D printing-based integrated water quality sensing system","Q13442814","Rehan Sadiq","10.3390/s17061336","3D printing-based integrated water quality sensing system","2017-06-08T14:26:09Z"
"A Bayesian belief approach to quality control of resin transfer molding process","Q13442814","Rehan Sadiq","10.1007/s00170-020-05715-x","A Bayesian belief approach to quality control of resin transfer molding process","2020-07-23T02:02:25Z"
"A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","Q13442814","Rehan Sadiq","10.1061/41203(425)126","A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","2012-01-05T20:10:27Z"
"A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Q13442814","Rehan Sadiq","10.1515/jisys-2015-0108","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","2015-12-14T17:01:46Z"
"A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","Q13442814","Rehan Sadiq","10.2175/193864704790896252","A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","2012-10-24T14:55:14Z"
"A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","Q13442814","Rehan Sadiq","10.1007/s13198-014-0318-2","A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","2014-12-05T05:21:28Z"
"A comparison of various uncertainty models: An example of subsurface contaminant transport","Q13442814","Rehan Sadiq","10.1016/j.jher.2011.09.001","A comparison of various uncertainty models: An example of subsurface contaminant transport","2011-10-14T13:39:40Z"
"A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","2014-06-25T15:46:28Z"
"A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Q13442814","Rehan Sadiq","10.1080/15732479.2015.1053093","A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","2015-07-17T06:39:58Z"
"A fuzzy expert system for deterioration modeling of buried metallic pipes","Q13442814","Rehan Sadiq","10.1109/nafips.2004.1336311","A fuzzy expert system for deterioration modeling of buried metallic pipes","2004-11-08T16:27:50Z"
"A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","Q13442814","Rehan Sadiq","10.1504/ijee.2014.062156","A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","2014-06-01T07:30:15Z"
"A fuzzy rule-based approach for water quality assessment in the distribution network","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608562","A fuzzy rule-based approach for water quality assessment in the distribution network","2013-10-01T18:39:42Z"
"A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2013.06.061","A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","2013-07-12T17:21:41Z"
"A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2003.12.007","A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","2004-03-09T13:52:41Z"
"A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Q13442814","Rehan Sadiq","10.1007/s10098-016-1322-9","A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","2017-01-02T13:12:01Z"
"A method of measuring uncertainty for Z-number","Q13442814","Rehan Sadiq","10.1109/tfuzz.2018.2868496","A method of measuring uncertainty for Z-number","2018-09-03T18:26:01Z"
"A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","A new closeness centrality measure via effective distance in complex networks","2015-03-24T18:35:13Z"
"A new method in failure mode and effects analysis based on evidential reasoning","Q13442814","Rehan Sadiq","10.1109/access.2019.2934495","A new method in failure mode and effects analysis based on evidential reasoning","2019-08-12T19:28:28Z"
"A new method of mapping relations from data based on artificial neural network","Q13442814","Rehan Sadiq","10.1007/s13198-013-0204-3","A new method of mapping relations from data based on artificial neural network","2013-10-31T10:34:57Z"
"A new method to construct co-author networks","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.10.006","A new method to construct co-author networks","2014-10-15T20:55:45Z"
"A new method to determine basic probability assignment using core samples","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.06.015","A new method to determine basic probability assignment using core samples","2014-07-09T04:46:04Z"
"A new weighting factor in combining belief function","Q13442814","Rehan Sadiq","10.1371/journal.pone.0177695","A new weighting factor in combining belief function","2017-05-25T17:33:12Z"
"A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122372","A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","2020-05-25T12:29:37Z"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1007/978-90-481-2500-5_5","A review of drought indices","2010-09-06T12:10:05Z"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","A review of drought indices","2011-09-13T13:44:41Z"
"A review of multi-criteria decision-making methods for infrastructure management","Q13442814","Rehan Sadiq","10.1080/15732479.2013.795978","A review of multi-criteria decision-making methods for infrastructure management","2013-05-29T09:24:16Z"
"A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2011.04.005","A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","2011-04-30T19:20:05Z"
