"Len","P31","P50","P356","P1476","P577"
"A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","Q13442814","Valentina Radić","10.5194/tc-13-1051-2019","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","2019-04-02T05:22:42Z"
"Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Q13442814","Valentina Radić","10.3189/002214308786570809","Analysis of scaling methods in deriving future volume evolutions of valley glaciers","2008-11-27T02:14:00Z"
"Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Q13442814","Valentina Radić","10.3390/e20030207","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","2018-03-20T10:57:11Z"
"Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","Q13442814","Valentina Radić","10.1017/jog.2018.68","Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","2018-09-26T05:45:46Z"
"Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Q13442814","Valentina Radić","10.1175/jcli-d-11-00011.1","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","2011-05-24T15:06:20Z"
"Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","Q13442814","Valentina Radić","10.5194/tc-11-2897-2017","Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","2017-12-12T18:41:09Z"
"Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","Q13442814","Valentina Radić","10.1002/2015jd023279","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","2015-08-15T22:19:08Z"
"Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula","Q13442814","Valentina Radić","10.1016/j.epsl.2016.07.054","Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula","2016-08-25T19:12:20Z"
"Glacier Retreat and Pacific Salmon","Q13442814","Valentina Radić","10.1093/biosci/biaa015","Glacier Retreat and Pacific Salmon","2020-01-29T12:14:50Z"
"GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections","Q13442814","Valentina Radić","10.1017/jog.2019.22","GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections","2019-05-16T07:46:21Z"
