"qid","Len","P31","P50","P356","P921","P1476"
"","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Q13442814","Q57582079","10.1038/s41597-020-00583-2","modeling","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds"
"","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Q13442814","Q57582079","10.1002/2015wr017199","land","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation"
"","Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time","Q13442814","Q57582079","10.5194/soil-6-231-2020","water","Catchment export of base cations: improved mineral dissolution kinetics influence the role of water transit time"
"","Controls on subsurface transport of sorbing contaminant","Q13442814","Q57582079","10.2166/nh.2016.170","water","Controls on subsurface transport of sorbing contaminant"
"","Estimating rates of wetland loss using power-law functions","Q13442814","Q57582079","10.1007/s13157-017-0960-y","wetland","Estimating rates of wetland loss using power-law functions"
"","Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach","Q13442814","Q57582079","10.1029/2017wr022356","modeling","Groundwater subsidy from headwaters to their parent water watershed: A combined field‐modeling approach"
"","Hillslope permeability architecture controls on subsurface transit time distribution and flow paths","Q13442814","Q57582079","10.1016/j.jhydrol.2016.04.071","","Hillslope permeability architecture controls on subsurface transit time distribution and flow paths"
"","Hydrologic connectivity of geographically isolated wetlands to surface water systems","Q13442814","Q57582079","10.1016/j.envsoft.2013.12.004","water","Hydrologic connectivity of geographically isolated wetlands to surface water systems"
"","Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","Q13442814","Q57582079","10.1111/1752-1688.12735","modeling","Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations"
"","Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Q13442814","Q57582079","10.2166/nh.2016.148","water","Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer"
"","Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone","Q13442814","Q57582079","10.1002/2016wr019448","water","Primary weathering rates, water transit times, and concentration‐discharge relations: A theoretical analysis for the critical zone"
"","Quantifying hydrologic connectivity of wetlands to surface water systems","Q13442814","Q57582079","10.5194/hess-21-1791-2017","water","Quantifying hydrologic connectivity of wetlands to surface water systems"
"","Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","Q13442814","Q57582079","10.2166/nh.2017.201","water","Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction"
"","Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","Q13442814","Q57582079","10.1002/2014wr015394","water","Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction"
"","Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","Q13442814","Q57582079","10.1016/j.advwatres.2013.07.004","water science and technology","Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers"
"","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Q13442814","Q57582079","10.1002/hyp.14112","water science and technology","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes"
"","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Q13442814","Q57582079","10.1002/hyp.10777","water","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution"
