qid,Len,P31,P106,P463,P2561
Q57582079,Ali Ameli,Q5,Q1650915,,Ali A. Ameli
,Alice Guimaraes,Q5,Q1650915,,Alice Guimaraes
,Annegaaike Leopold,Q5,Q1650915,,Annegaaike Leopold
Q30505017,Curtis A. Suttle,Q5,Q1650915,,Curtis A. Suttle
,Dacotah-Victoria Splichalova,Q5,Q1650915,,Dacotah-Victoria Splichalova
,Daniel Roehr,Q5,Q1650915,,Daniel Roehr
Q90402509,Gunilla Öberg,Q5,Q1650915,,Gunilla Oberg
,John Janmaat,Q5,Q1650915,,John Janmaat
Q56794616,John S. Richardson,Q5,Q1650915,,John S Richardson
,John Wagner,Q5,Q1650915,,John Wagner
Q90016862,Jongho Lee,Q5,Q1650915,,Jongho Lee
Q58161403,Jordi Honey-Rosés,Q5,Q1650915,,Jordi Honey-Rosés
,Kasey Moran,Q5,Q1650915,,Kasey Moran
,Leila M. Harris,Q5,Q1650915,,Leila M. Harris
Q58348879,Lucy Rodina,Q5,Q1650915,,Lucy Rodina
,Madjid Mohseni,Q5,Q1650915,,Madjid Mohseni
,Mark Johnson,Q5,Q1650915,,Mark Johnson
,Marwan Hassan,Q5,Q1650915,,Marwan Hassan
,Nadja Kunz,Q5,Q1650915,,Nadja Kunz
Q92014274,Natalie Prystajecky,Q5,Q1650915,,Natalie Prystajecky
Q61112978,Nicolas Peleato,Q5,Q1650915,,Nicolas M. Peleato
,Pierre Bérubé,Q5,Q1650915,,Pierre Bérubé
,Rehan Sadiq,Q5,Q1650915,,Rehan Sadiq
Q88314953,Ryan Ziels,Q5,Q1650915,,Ryan M Ziels
,Steven Conrad,Q5,Q1650915,,Steven Conrad
Q103830191,Steven Weijs,Q5,Q1650915,,Steven V Weijs
Q58149099,Valentina Radić,Q5,Q1650915,,Valentina Radic
