"qid","Len","P31","P50","P356","P921","P1476"
"","A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Q13442814","Q56794616","10.1007/s00027-013-0308-5","water","A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams"
"","A healthy Fraser River? How will we know when we achieve this state?","Q13442814","Q56794616","10.1007/bf00662799","pollution","A healthy Fraser River? How will we know when we achieve this state?"
"","A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Q13442814","Q56794616","10.2478/remc-2014-0001","streams","A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams"
"","A test of the umbrella species approach in restored floodplain ponds","Q13442814","Q56794616","10.1111/1365-2664.12248","ecology","A test of the umbrella species approach in restored floodplain ponds"
"","Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Q13442814","Q56794616","10.1898/1051-1733-90.2.163","general earth and planetary sciences","Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …"
"","Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Q13442814","Q56794616","10.1139/z06-141","fish","Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?"
"","An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01027.x","invertebrates","An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates"
"","Aquatic Insects","Q13442814","Q56794616","10.1080/01650427909360994","insect science","Aquatic Insects"
"","Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","Q13442814","Q56794616","10.4039/n07-ls04","land","Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1"
"","Artificial light as a disturbance to light‐naïve streams","Q13442814","Q56794616","10.1111/fwb.12426","streams","Artificial light as a disturbance to light‐naïve streams"
"","Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Q13442814","Q56794616","10.1111/j.1600-0706.2010.18942.x","invertebrates","Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams"
"","Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Q13442814","Q56794616","10.1016/j.foreco.2016.10.044","water","Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest"
"","Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Q13442814","Q56794616","10.1111/j.1523-1739.2010.01606.x","ecology","Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis"
"","BRITISH MYCOLOGICAL SOCIETY","Q13442814","Q56794616","10.1016/s0007-1536(67)80110-4","general earth and planetary sciences","BRITISH MYCOLOGICAL SOCIETY"
"","Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia","Q13442814","Q56794616","10.1899/02-075.1","british columbia","Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia"
"","Biodiversity‐ecosystem function research: Insights gained from streams","Q13442814","Q56794616","10.1002/rra.1286","streams","Biodiversity‐ecosystem function research: Insights gained from streams"
"","Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams","Q13442814","Q56794616","10.1111/j.1365-2664.2011.02038.x","streams","Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams"
"","Biological diversity in headwater streams","Q13442814","Q56794616","10.3390/w11020366","biological diversity","Biological diversity in headwater streams"
"","Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)","Q13442814","Q56794616","10.2307/1467499","aquatic science","Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)"
"","Catchment‐scale effects of forestry practices on benthic invertebrate communities in Pacific coastal streams","Q13442814","Q56794616","10.1111/j.1365-2664.2009.01718.x","streams","Catchment‐scale effects of forestry practices on benthic invertebrate communities in Pacific coastal streams"
"","Causes and consequences of invertebrate drift in running waters: from individuals to populations and trophic fluxes","Q13442814","Q56794616","10.1139/cjfas-2015-0363","water","Causes and consequences of invertebrate drift in running waters: from individuals to populations and trophic fluxes"
