"qid","Len","P31","P50","P356","P921","P1476"
"","A Review of Field Experiments in Planning and Urban Research","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/02697459.2019.1647394","geography, planning and development","A Review of Field Experiments in Planning and Urban Research"
"","Academia in the Time of COVID-19: Towards an Ethics of Care","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/14649357.2020.1757891","geography, planning and development","Academia in the Time of COVID-19: Towards an Ethics of Care"
"","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1177/1940082920922676","land-use","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua"
"","Book Review: “Water in Plain Sight: Hope for a Thirsty World”","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1142/s2382624x17800017","water","Book Review: “Water in Plain Sight: Hope for a Thirsty World”"
"","Commentary on the Absence of Experiments in Planning","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1177/0739456x17739352","","Commentary on the Absence of Experiments in Planning"
"","Implementation strategies and a cost/benefit comparison for compliance with an environmental flow regime in a Mediterranean river affected by hydropower","Q13442814","('Jordi\xa0Honey-Rosés',)","10.2166/wp.2015.169","environmental","Implementation strategies and a cost/benefit comparison for compliance with an environmental flow regime in a Mediterranean river affected by hydropower"
"","Is this trail too crowded? A choice experiment to evaluate tradeoffs and preferences of park visitors in Garibaldi Park, British Columbia","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/09640568.2017.1284047","british columbia","Is this trail too crowded? A choice experiment to evaluate tradeoffs and preferences of park visitors in Garibaldi Park, British Columbia"
"","Leveraging support for conservation from ecotourists: can relational values play a role?","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/09669582.2019.1683184","tourism, leisure and hospitality management","Leveraging support for conservation from ecotourists: can relational values play a role?"
"","Mainstreaming Impact Evaluation in Nature Conservation","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1111/conl.12180","impact evaluation","Mainstreaming Impact Evaluation in Nature Conservation"
"","Metrics and Methods for Comparing Water Utility Rate Structures","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1142/s2382624x18500182","water","Metrics and Methods for Comparing Water Utility Rate Structures"
"","Percent Change as a Measure of Price Escalation in Water and Energy Utilities","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1177/1087724x18822587","water","Percent Change as a Measure of Price Escalation in Water and Energy Utilities"
"","Quantifying active and passive restoration in Central Mexico from 1986-2012: assessing the evidence of a forest transition","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1111/rec.12703","mexico","Quantifying active and passive restoration in Central Mexico from 1986-2012: assessing the evidence of a forest transition"
"","Rule compliance and desire lines in Barcelona’s cycling network","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/19427867.2020.1803542","transportation","Rule compliance and desire lines in Barcelona’s cycling network"
"","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1177/0013916520953147","gender","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment"
"","The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/23748834.2020.1780074","","The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities"
"","Young families and children in gentrifying neighbourhoods: how gentrification reshapes use and perception of green play spaces","Q13442814","('Jordi\xa0Honey-Rosés',)","10.1080/13549839.2020.1835849","geography, planning and development","Young families and children in gentrifying neighbourhoods: how gentrification reshapes use and perception of green play spaces"
