"qid","Len","P31","P50","P356","P921","P1476"
"","A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation","Q13442814","('Madjid\xa0Mohseni',)","10.2166/wst.2011.321","degradation","A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation"
"","A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jwpe.2020.101778","degradation","A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity"
"","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Q13442814","('Madjid\xa0Mohseni',)","10.1039/c8re00306h","","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions"
"","A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Q13442814","('Madjid\xa0Mohseni',)","10.1080/10934529.2013.774608","water","A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water"
"","A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jhazmat.2015.03.036","water","A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water"
"","A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.watres.2004.03.002","ozone","A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide"
"","A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Q13442814","('Madjid\xa0Mohseni',)","10.3390/en9020078","general computer science","A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations"
"","An overview of UV-based advanced oxidation processes for drinking water treatment","Q13442814","('Madjid\xa0Mohseni',)","10.1016/b978-0-12-382182-9.00031-1","drinking water","An overview of UV-based advanced oxidation processes for drinking water treatment"
"","Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","('Madjid\xa0Mohseni',)","10.1139/cjc-2016-0315","drinking water","Analytical quantification of electrochemical ferrates for drinking water treatments"
"","Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jphotochem.2019.112198","general physics and astronomy","Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization"
"","Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.watres.2016.03.003","water","Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review"
"","Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media.","Q13442814","('Madjid\xa0Mohseni',)","10.1016/s0009-2509(99)00420-0","","Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media."
"","Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis","Q13442814","('Madjid\xa0Mohseni',)","10.1504/ijetm.2008.017859","environmental engineering","Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis"
"","Biological Ion Exchange Provides DOC Removal in Small Communities","Q13442814","('Madjid\xa0Mohseni',)","10.1002/opfl.1369","ion exchange","Biological Ion Exchange Provides DOC Removal in Small Communities"
"","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.watres.2021.117036","ion exchange","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal"
"","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.watres.2019.115148","drinking water","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment"
"","Biological treatment of waste gases containing inorganic compounds","Q13442814","('Madjid\xa0Mohseni',)","10.1007/3-540-27007-8_12","","Biological treatment of waste gases containing inorganic compounds"
"","CFD modeling of mass transfer in annular reactors","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.ijheatmasstransfer.2009.07.004","modeling","CFD modeling of mass transfer in annular reactors"
