"qid","Len","P31","P50","P356","P921","P1476"
"","A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands","Q13442814","('Mark\xa0Johnson',)","10.5194/hessd-11-4017-2014","water","A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands"
"","A contribution to harmonize water footprint assessments","Q13442814","('Mark\xa0Johnson',)","10.1016/j.gloenvcha.2018.10.004","water","A contribution to harmonize water footprint assessments"
"","A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Q13442814","('Mark\xa0Johnson',)","10.5194/hess-20-2179-2016","water","A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?"
"","A simple, direct method to measure dissolved CO2 using soda lime","Q13442814","('Mark\xa0Johnson',)","10.4257/oeco.2008.1201.08","ecology","A simple, direct method to measure dissolved CO2 using soda lime"
"","Application of SMR to modeling watersheds in the Catskill Mountains","Q13442814","('Mark\xa0Johnson',)","10.1023/b:enmo.0000032096.13649.92","modeling","Application of SMR to modeling watersheds in the Catskill Mountains"
"","Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2016.12.066","soil","Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil"
"","Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jhydrol.2003.07.005","water","Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR"
"","Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2014.09.033","soil","Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil"
"","Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2017.12.052","environmental engineering","Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars"
"","Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil","Q13442814","('Mark\xa0Johnson',)","10.1371/journal.pone.0098523","soil","Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil"
"","Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil","Q13442814","('Mark\xa0Johnson',)","10.1038/s41598-017-07224-6","soil","Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil"
"","Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol","Q13442814","('Mark\xa0Johnson',)","10.1111/gcbb.12489","soil","Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol"
"","CO2 efflux from Amazonian headwater streams represents a significant fate for deep soil respiration","Q13442814","('Mark\xa0Johnson',)","10.1029/2008gl034619","soil","CO2 efflux from Amazonian headwater streams represents a significant fate for deep soil respiration"
"","Carbon biogeochemistry of a flooded Pantanal forest over three annual flood cycles","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-018-0450-1","earth-surface processes","Carbon biogeochemistry of a flooded Pantanal forest over three annual flood cycles"
"","Cattle production in Southern Amazonia: implications for land and water management","Q13442814","('Mark\xa0Johnson',)","10.1088/1748-9326/ab30a7","water","Cattle production in Southern Amazonia: implications for land and water management"
"","Characterization of shortwave and longwave properties of several plastic film mulches and their impact on the surface energy balance and soil temperature","Q13442814","('Mark\xa0Johnson',)","10.1016/j.solener.2020.11.058","soil","Characterization of shortwave and longwave properties of several plastic film mulches and their impact on the surface energy balance and soil temperature"
"","Citizen science for water quality monitoring: Data implications of citizen perspectives","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2017.05.083","water","Citizen science for water quality monitoring: Data implications of citizen perspectives"
"","Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jclepro.2019.02.021","water","Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia"
"","Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison","Q13442814","('Mark\xa0Johnson',)","10.1002/jgrg.20047","water","Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison"
"","DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-006-9029-3","soil","DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils"
"","Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter","Q13442814","('Mark\xa0Johnson',)","10.3390/agriculture8060071","soil","Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter"
"","Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers","Q13442814","('Mark\xa0Johnson',)","10.2134/ael2016.02.0011","","Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers"
"","Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense","Q13442814","('Mark\xa0Johnson',)","10.1590/0100-67622015000200012","","Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense"
"","Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications","Q13442814","('Mark\xa0Johnson',)","10.1002/eco.95","water","Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications"
"","Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-011-9574-2","streams","Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled"
"","Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional","Q13442814","('Mark\xa0Johnson',)","10.1590/s0044-59672008000400015","","Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional"
"","Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional","Q13442814","('Mark\xa0Johnson',)","10.1590/s0100-67622007000100010","forestry","Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional"
"","Double-funneling of trees: Stemflow and root-induced preferential flow","Q13442814","('Mark\xa0Johnson',)","10.2980/i1195-6860-13-3-324.1","","Double-funneling of trees: Stemflow and root-induced preferential flow"
"","Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem","Q13442814","('Mark\xa0Johnson',)","10.1002/eco.1922","","Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem"
"","Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems","Q13442814","('Mark\xa0Johnson',)","10.1007/978-94-007-1363-5_24","ecohydrology","Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems"
"","Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier","Q13442814","('Mark\xa0Johnson',)","10.32942/osf.io/85ypg","environmental","Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier"
"","Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …","Q13442814","('Mark\xa0Johnson',)","10.3133/sir20055070","land-use","Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …"
"","Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand","Q13442814","('Mark\xa0Johnson',)","10.1016/j.agrformet.2018.01.035","water","Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand"
"","Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment","Q13442814","('Mark\xa0Johnson',)","10.3390/w10040349","water","Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment"
"","Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale","Q13442814","('Mark\xa0Johnson',)","10.1016/j.geoderma.2019.113925","soil","Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale"
"","Examining CO2 concentrations and flow dynamics in streams","Q13442814","('Mark\xa0Johnson',)","10.1002/2013eo230014","streams","Examining CO2 concentrations and flow dynamics in streams"
"","Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts","Q13442814","('Mark\xa0Johnson',)","10.1002/ldr.832","rivers","Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts"
"","Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-011-9595-x","water","Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds"
"","Future water supply and demand in the Okanagan Basin, British Columbia: a scenario-based analysis of multiple, interacting stressors","Q13442814","('Mark\xa0Johnson',)","10.1007/s11269-011-9938-3","british columbia","Future water supply and demand in the Okanagan Basin, British Columbia: a scenario-based analysis of multiple, interacting stressors"
"","Gap‐filling approaches for eddy covariance methane fluxes: A comparison of three machine learning algorithms and a traditional method with principal component analysis","Q13442814","('Mark\xa0Johnson',)","10.1111/gcb.14845","machine learning","Gap‐filling approaches for eddy covariance methane fluxes: A comparison of three machine learning algorithms and a traditional method with principal component analysis"
"","Gas Transfer Velocities Evaluated Using Carbon Dioxide as a Tracer Show High Streamflow to Be a Major Driver of Total CO2 Evasion Flux for a Headwater Stream","Q13442814","('Mark\xa0Johnson',)","10.1029/2018jg004388","water","Gas Transfer Velocities Evaluated Using Carbon Dioxide as a Tracer Show High Streamflow to Be a Major Driver of Total CO2 Evasion Flux for a Headwater Stream"
"","Groundwater recharge indicator as tool for decision makers to increase socio-hydrological resilience to seasonal drought","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jhydrol.2018.05.069","water","Groundwater recharge indicator as tool for decision makers to increase socio-hydrological resilience to seasonal drought"
"","High-frequency analysis of dissolved organic carbon storm responses in headwater streams of contrasting forest harvest history","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jhydrol.2020.125371","water","High-frequency analysis of dissolved organic carbon storm responses in headwater streams of contrasting forest harvest history"
"","Hydrochemistry of shallow groundwater and springs used for potable supply in Southern Brazil","Q13442814","('Mark\xa0Johnson',)","10.1007/s12665-018-7254-4","water","Hydrochemistry of shallow groundwater and springs used for potable supply in Southern Brazil"
"","Hyperspectral and Thermal Sensing of Stomatal Conductance, Transpiration, and Photosynthesis for Soybean and Maize under Drought","Q13442814","('Mark\xa0Johnson',)","10.3390/rs12193182","drought","Hyperspectral and Thermal Sensing of Stomatal Conductance, Transpiration, and Photosynthesis for Soybean and Maize under Drought"
"","Identifying socio economic levers for a sustainable provision of ecosystem services in Amazonia landscapes","Q13442814","('Mark\xa0Johnson',)","10.1088/1755-1307/6/37/372027","land","Identifying socio economic levers for a sustainable provision of ecosystem services in Amazonia landscapes"
"","Impact of different agricultural waste biochars on maize biomass and soil water content in a Brazilian Cerrado Arenosol","Q13442814","('Mark\xa0Johnson',)","10.3390/agronomy7030049","soil","Impact of different agricultural waste biochars on maize biomass and soil water content in a Brazilian Cerrado Arenosol"
"","Improving agricultural water use efficiency with biochar–A synthesis of biochar effects on water storage and fluxes across scales","Q13442814","('Mark\xa0Johnson',)","10.1016/j.scitotenv.2018.11.312","water","Improving agricultural water use efficiency with biochar–A synthesis of biochar effects on water storage and fluxes across scales"
"","Indicativos de descontinuidade litológica de regolitos derivados de granitos em uma microbacia sob floresta Amazônica, em Juruena-MT","Q13442814","('Mark\xa0Johnson',)","10.1590/s0100-06832012000200001","","Indicativos de descontinuidade litológica de regolitos derivados de granitos em uma microbacia sob floresta Amazônica, em Juruena-MT"
"","Inundation and groundwater dynamics for quantification of evaporative water loss in tropical wetlands","Q13442814","('Mark\xa0Johnson',)","10.5194/hess-18-4407-2014","water","Inundation and groundwater dynamics for quantification of evaporative water loss in tropical wetlands"
"","Investigating the impacts of biochar on water fluxes in tropical agriculture using stable isotopes","Q13442814","('Mark\xa0Johnson',)","10.5194/hess-2020-404","water","Investigating the impacts of biochar on water fluxes in tropical agriculture using stable isotopes"
"","Isotopic estimation of water balance and groundwater-surface water interactions of tropical wetland lakes in the Pantanal, Brazil","Q13442814","('Mark\xa0Johnson',)","10.1080/02626667.2013.870665","water","Isotopic estimation of water balance and groundwater-surface water interactions of tropical wetland lakes in the Pantanal, Brazil"
"","Land occupation and transformation impacts of soybean production in Southern Amazonia, Brazil","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jclepro.2017.02.120","land","Land occupation and transformation impacts of soybean production in Southern Amazonia, Brazil"
"","Land use in LCA: including regionally altered precipitation to quantify ecosystem damage","Q13442814","('Mark\xa0Johnson',)","10.1021/acs.est.6b02311.s001","land","Land use in LCA: including regionally altered precipitation to quantify ecosystem damage"
"","Land-use change and stream water fluxes: Decadal dynamics in watershed nitrate exports","Q13442814","('Mark\xa0Johnson',)","10.1007/s10021-007-9091-2","land-use","Land-use change and stream water fluxes: Decadal dynamics in watershed nitrate exports"
"","Land–Water interactions in the amazon","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-011-9622-y","water","Land–Water interactions in the amazon"
"","Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed","Q13442814","('Mark\xa0Johnson',)","10.35648/20.500.12413/11781/ii250","water","Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed"
