"qid","Len","P31","P50","P356","P921","P1476"
"","10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs","Q13442814","('Marwan Hassan',)","10.1016/s0928-2025(07)11127-5","rivers","10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs"
"","18 Sediment storage and transport in coarse bed streams: scale considerations","Q13442814","('Marwan Hassan',)","10.1016/s0928-2025(07)11137-8","streams","18 Sediment storage and transport in coarse bed streams: scale considerations"
"","2 Salmon-driven bed load transport and bed morphology in mountain 3 streams","Q13442814","('Marwan Hassan',)","10.1029/2007gl032997","streams","2 Salmon-driven bed load transport and bed morphology in mountain 3 streams"
"","A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Q13442814","('Marwan Hassan',)","10.1029/2011jg001891","","A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata"
"","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Q13442814","('Marwan Hassan',)","10.1002/esp.4784","rivers","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance"
"","A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Q13442814","('Marwan Hassan',)","10.1007/s10933-010-9485-6","earth-surface processes","A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada"
"","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Q13442814","('Marwan Hassan',)","10.1016/j.advwatres.2015.10.013","","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds"
"","A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Q13442814","('Marwan Hassan',)","10.1029/2012jf002400","water","A network model for prediction and diagnosis of sediment dynamics at the watershed scale"
"","A reduced-complexity model for sediment transport and step-pool morphology","Q13442814","('Marwan Hassan',)","10.5194/esurf-4-549-2016","sediment transport","A reduced-complexity model for sediment transport and step-pool morphology"
"","Abrupt drainage basin reorganization following a Pleistocene river capture","Q13442814","('Marwan Hassan',)","10.1038/s41467-018-06238-6","general biochemistry, genetics and molecular biology","Abrupt drainage basin reorganization following a Pleistocene river capture"
"","Asher P. Schick (1931–2002)","Q13442814","('Marwan Hassan',)","10.1029/2002eo000388","general earth and planetary sciences","Asher P. Schick (1931–2002)"
"","BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Q13442814","('Marwan Hassan',)","10.5194/egusphere-egu2020-10800","streams","BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales"
"","Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Q13442814","('Marwan Hassan',)","10.1029/2020gl087440","sediment transport","Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport"
"","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Q13442814","('Marwan Hassan',)","10.1002/essoar.10502258.1","sediment transport","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport"
"","Bar structure in an arid ephemeral stream","Q13442814","('Marwan Hassan',)","10.1016/j.sedgeo.2009.07.012","stratigraphy","Bar structure in an arid ephemeral stream"
"","Bed material and bed load movement in two ephemeral streams","Q13442814","('Marwan Hassan',)","10.1002/9781444303995.ch4","streams","Bed material and bed load movement in two ephemeral streams"
"","Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","Q13442814","('Marwan Hassan',)","10.1201/b17133-169","rivers","Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers"
"","Bedload transport in gravel bed rivers","Q13442814","('Marwan Hassan',)","10.1002/9781118971437.ch15","rivers","Bedload transport in gravel bed rivers"
"","Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera","Q13442814","('Marwan Hassan',)","10.1016/j.geomorph.2021.107700","earth-surface processes","Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera"
"","Calculating the explicit probability of entrainment based on inertial acceleration measurements","Q13442814","('Marwan Hassan',)","10.1061/(asce)hy.1943-7900.0001262","mechanical engineering","Calculating the explicit probability of entrainment based on inertial acceleration measurements"
"","Can magic sand cause massive degradation of a gravel-bed river at the decadal scale? Shi‑ting River, China","Q13442814","('Marwan Hassan',)","10.1016/j.geomorph.2018.10.026","degradation","Can magic sand cause massive degradation of a gravel-bed river at the decadal scale? Shi‑ting River, China"
"","Channel adjustments to a succession of water pulses in gravel bed rivers","Q13442814","('Marwan Hassan',)","10.1002/2015wr017664","rivers","Channel adjustments to a succession of water pulses in gravel bed rivers"
"","Channel response and recovery to changes in sediment supply","Q13442814","('Marwan Hassan',)","10.1002/9781119952497.ch33","","Channel response and recovery to changes in sediment supply"
"","Characteristics of gravel bars in ephemeral streams","Q13442814","('Marwan Hassan',)","10.2110/jsr.2005.004","streams","Characteristics of gravel bars in ephemeral streams"
"","Characterization of morphological units in a small, forested stream using close-range remotely piloted aircraft imagery","Q13442814","('Marwan Hassan',)","10.5194/esurf-8-913-2020","environments","Characterization of morphological units in a small, forested stream using close-range remotely piloted aircraft imagery"
"","Collisional Langevin approach to bed load sediment velocity distributions","Q13442814","('Marwan Hassan',)","10.5194/egusphere-egu21-8148","","Collisional Langevin approach to bed load sediment velocity distributions"
"","Colluvial sediment dynamics in mountain drainage basins","Q13442814","('Marwan Hassan',)","10.1016/j.epsl.2009.05.002","earth and planetary sciences (miscellaneous)","Colluvial sediment dynamics in mountain drainage basins"
"","Complex mass wasting response of drainage basins to forest management in coastal British Columbia","Q13442814","('Marwan Hassan',)","10.1016/s0169-555x(02)00166-6","british columbia","Complex mass wasting response of drainage basins to forest management in coastal British Columbia"
"","Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …","Q13442814","('Marwan Hassan',)","10.1029/2004jd005414","water","Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …"
"","Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone","Q13442814","('Marwan Hassan',)","10.1016/j.jhydrol.2004.02.010","water","Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone"
"","Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel","Q13442814","('Marwan Hassan',)","10.1002/esp.4788","earth-surface processes","Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel"
"","Debris flow initiation and sediment recharge in gullies","Q13442814","('Marwan Hassan',)","10.1016/j.geomorph.2009.02.021","","Debris flow initiation and sediment recharge in gullies"
"","Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada","Q13442814","('Marwan Hassan',)","10.1029/2017jf004578","british columbia","Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada"
"","Displacement characteristics of coarse fluvial bed sediment","Q13442814","('Marwan Hassan',)","10.1029/2012jf002374","","Displacement characteristics of coarse fluvial bed sediment"
"","Distance of movement of coarse particles in gravel bed streams","Q13442814","('Marwan Hassan',)","10.1029/90wr02762","streams","Distance of movement of coarse particles in gravel bed streams"
"","Does small‐bodied salmon spawning activity enhance streambed mobility?","Q13442814","('Marwan Hassan',)","10.1002/2015wr017079","","Does small‐bodied salmon spawning activity enhance streambed mobility?"
"","Does variable channel morphology lead to dynamic salmon habitat?","Q13442814","('Marwan Hassan',)","10.1002/esp.4726","channel morphology","Does variable channel morphology lead to dynamic salmon habitat?"
"","Drag forces on large cylinders","Q13442814","('Marwan Hassan',)","10.1002/rra.2868","","Drag forces on large cylinders"
"","Drainage basin dynamics and morphology","Q13442814","('Marwan Hassan',)","10.1016/0378-3839(79)90023-1","environmental engineering","Drainage basin dynamics and morphology"
"","EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA","Q13442814","('Marwan Hassan',)","10.1029/2005jf000358","british columbia","EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA"
"","Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers","Q13442814","('Marwan Hassan',)","10.5194/egusphere-egu21-6889","rivers","Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers"
"","Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications","Q13442814","('Marwan Hassan',)","10.1002/2013wr014529","british columbia","Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications"
