"Len","P31","P50","P356","P1476"
"10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs","Q13442814","Marwan Hassan","10.1016/s0928-2025(07)11127-5","10 Adjustment of the bed surface size distribution of gravel-bed rivers in response to cycled hydrographs"
"10 Framing the debate on water marketization","Q13442814","Leila M. Harris","10.4324/9780203076361-10","10 Framing the debate on water marketization"
"18 Sediment storage and transport in coarse bed streams: scale considerations","Q13442814","Marwan Hassan","10.1016/s0928-2025(07)11137-8","18 Sediment storage and transport in coarse bed streams: scale considerations"
"19 Participation’s limits","Q13442814","Leila M. Harris","10.4324/9780203076361-19","19 Participation’s limits"
"2 Salmon-driven bed load transport and bed morphology in mountain 3 streams","Q13442814","Marwan Hassan","10.1029/2007gl032997","2 Salmon-driven bed load transport and bed morphology in mountain 3 streams"
"22 Placing hegemony","Q13442814","Leila M. Harris","10.4324/9780203076361-22","22 Placing hegemony"
"3D printing-based integrated water quality sensing system","Q13442814","Rehan Sadiq","10.3390/s17061336","3D printing-based integrated water quality sensing system"
"A Bayesian belief approach to quality control of resin transfer molding process","Q13442814","Rehan Sadiq","10.1007/s00170-020-05715-x","A Bayesian belief approach to quality control of resin transfer molding process"
"A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation","Q13442814","Madjid Mohseni","10.2166/wst.2011.321","A CFD-based Study of the degradation of micropollutants induced by Vacuum-UV radiation"
"A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","Q13442814","Rehan Sadiq","10.1061/41203(425)126","A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport"
"A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands","Q13442814","Mark Johnson","10.5194/hessd-11-4017-2014","A New Approach to Quantify Evaporative Water Loss in Tropical Wetlands"
"A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Q13442814","Rehan Sadiq","10.1515/jisys-2015-0108","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty"
"A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","Q13442814","Rehan Sadiq","10.2175/193864704790896252","A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT"
"A Review of Field Experiments in Planning and Urban Research","Q13442814","Jordi Honey-Rosés","10.1080/02697459.2019.1647394","A Review of Field Experiments in Planning and Urban Research"
"A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS","Q13442814","Natalie Prystajecky","10.7589/jwd-d-20-00082","A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS"
"A chloroperoxidase-like catalyst in soil: detection and characterization of some properties","Q13442814","Gunilla Öberg","10.1016/0038-0717(93)90239-8","A chloroperoxidase-like catalyst in soil: detection and characterization of some properties"
"A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Q13442814","Leila M. Harris","10.1016/j.scitotenv.2013.08.004","A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada"
"A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","Q13442814","Rehan Sadiq","10.1007/s13198-014-0318-2","A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools"
"A comparison of various uncertainty models: An example of subsurface contaminant transport","Q13442814","Rehan Sadiq","10.1016/j.jher.2011.09.001","A comparison of various uncertainty models: An example of subsurface contaminant transport"
"A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Q13442814","Q57582079","10.1038/s41597-020-00583-2","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds"
"A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Q13442814","Marwan Hassan","10.1029/2011jg001891","A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata"
"A contribution to harmonize water footprint assessments","Q13442814","Mark Johnson","10.1016/j.gloenvcha.2018.10.004","A contribution to harmonize water footprint assessments"
"A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2020.101778","A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity"
"A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Q13442814","Q56794616","10.1007/s00027-013-0308-5","A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams"
"A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Q13442814","Marwan Hassan","10.1002/esp.4784","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance"
"A decision support system for the design and evaluation of sustainable wastewater solutions","Q13442814","Gunilla Öberg","10.1109/tc.2013.140","A decision support system for the design and evaluation of sustainable wastewater solutions"
