"qid","Len","P31","P50","P356","P921","P1476"
"","A framework for the use of artificial neural networks for water treatment: development and application","Q13442814","('Pierre Bérubé',)","10.2166/ws.2020.205","water treatment","A framework for the use of artificial neural networks for water treatment: development and application"
"","A model for analyzing water reuse and resource recovery potential in urban areas","Q13442814","('Pierre Bérubé',)","10.1139/l2012-109","water","A model for analyzing water reuse and resource recovery potential in urban areas"
"","Ageing of membranes for water treatment: Linking changes to performance","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2015.12.033","water treatment","Ageing of membranes for water treatment: Linking changes to performance"
"","Air sparging for fouling control","Q13442814","('Pierre Bérubé',)","10.1016/b978-0-12-819809-4.00011-5","","Air sparging for fouling control"
"","Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Q13442814","('Pierre Bérubé',)","10.1002/ceat.201400026","","Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice"
"","Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2013.06.018","membranes","Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes"
"","Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Q13442814","('Pierre Bérubé',)","10.1016/j.ces.2010.12.034","industrial and manufacturing engineering","Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors"
"","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2021.117036","ion exchange","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal"
"","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2019.115148","drinking water","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment"
"","Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention","Q13442814","('Pierre Bérubé',)","10.2166/ws.2017.016","ion exchange","Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention"
"","Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations","Q13442814","('Pierre Bérubé',)","10.1139/s05-001","drinking water","Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations"
"","Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation","Q13442814","('Pierre Bérubé',)","10.1080/01919510802169272","water","Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation"
"","Characterization and modelling of soluble microbial products in activated sludge systems treating municipal wastewater with special emphasis on temperature effect","Q13442814","('Pierre Bérubé',)","10.1016/j.scitotenv.2021.146471","water","Characterization and modelling of soluble microbial products in activated sludge systems treating municipal wastewater with special emphasis on temperature effect"
"","Characterization of Shear Forces Inside Gas-Sparged Hollow Fiber Membrane Modules","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2007.03.032","","Characterization of Shear Forces Inside Gas-Sparged Hollow Fiber Membrane Modules"
"","Characterization of anionic surfactant-induced toxicity in a primary effluent","Q13442814","('Pierre Bérubé',)","10.1139/s07-036","environmental engineering","Characterization of anionic surfactant-induced toxicity in a primary effluent"
"","Characterization of fouling of tertiary membranes","Q13442814","('Pierre Bérubé',)","10.2175/193864718825138132","membranes","Characterization of fouling of tertiary membranes"
"","Characterization of performance of full-scale tertiary membranes under stressed operating conditions","Q13442814","('Pierre Bérubé',)","10.2166/wst.2020.140","membranes","Characterization of performance of full-scale tertiary membranes under stressed operating conditions"
"","Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential","Q13442814","('Pierre Bérubé',)","10.2166/ws.2015.157","water","Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential"
"","Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review","Q13442814","('Pierre Bérubé',)","10.1039/d0ew00461h","drinking water","Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review"
"","Committee report: recent advances and research needs in membrane fouling","Q13442814","('Pierre Bérubé',)","10.1002/j.1551-8833.2005.tb07452.x","","Committee report: recent advances and research needs in membrane fouling"
"","Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2020.117336","filtration and separation","Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control"
"","Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes","Q13442814","('Pierre Bérubé',)","10.33915/etd.2325","modeling","Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes"
"","Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules","Q13442814","('Pierre Bérubé',)","10.1016/j.desal.2011.07.050","","Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules"
"","Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Q13442814","('Pierre Bérubé',)","10.1016/j.desal.2014.11.014","","Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system"
"","EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM","Q13442814","('Pierre Bérubé',)","10.2166/wst.2011.521","environmental engineering","EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM"
"","Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor","Q13442814","('Pierre Bérubé',)","10.1016/s0043-1354(00)00203-7","","Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor"
"","Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor","Q13442814","('Pierre Bérubé',)","10.1016/s0273-1223(99)00735-0","","Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor"
"","Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment","Q13442814","('Pierre Bérubé',)","10.2478/v10173-012-0012-1","water treatment","Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment"
"","Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2006.01.048","physical and theoretical chemistry","Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]"
"","Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems","Q13442814","('Pierre Bérubé',)","10.1016/j.proeng.2012.08.985","","Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems"
"","Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors","Q13442814","('Pierre Bérubé',)","10.1139/s02-035","environmental engineering","Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors"
"","Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane","Q13442814","('Pierre Bérubé',)","10.1016/j.ces.2009.04.048","industrial and manufacturing engineering","Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane"
"","Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements","Q13442814","('Pierre Bérubé',)","10.2175/193864710798217151","","Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements"
"","Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2017.12.004","membranes","Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite"
"","Fouling in air sparged submerged hollow fiber membranes at sub-and super-critical flux conditions","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2007.09.039","membranes","Fouling in air sparged submerged hollow fiber membranes at sub-and super-critical flux conditions"
"","Hybrid membrane processes using activated carbon treatment for drinking water: a review","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2012.04.012","drinking water","Hybrid membrane processes using activated carbon treatment for drinking water: a review"
"","Impact of low coagulant dosages on protein fouling of ultrafiltration membranes","Q13442814","('Pierre Bérubé',)","10.1016/j.jwpe.2019.100801","membranes","Impact of low coagulant dosages on protein fouling of ultrafiltration membranes"
"","Impact of pac fines in fouling of polymeric and ceramic low-pressure membranes for drinking water treatment","Q13442814","('Pierre Bérubé',)","10.3390/membranes6030038","drinking water","Impact of pac fines in fouling of polymeric and ceramic low-pressure membranes for drinking water treatment"
"","Integrated oxidation membrane filtration process–NOM rejection and membrane fouling","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2016.08.024","ecological modelling","Integrated oxidation membrane filtration process–NOM rejection and membrane fouling"
"","Investigation of the effect of viscosity on slug flow in airlift tubular membranes in search of a sludge surrogate","Q13442814","('Pierre Bérubé',)","10.2166/wst.2010.118","membranes","Investigation of the effect of viscosity on slug flow in airlift tubular membranes in search of a sludge surrogate"
"","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2018.07.057","water","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters"
"","Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector","Q13442814","('Pierre Bérubé',)","10.1016/s0021-9673(98)00882-6","","Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector"
"","Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review","Q13442814","('Pierre Bérubé',)","10.2175/106143005x72858","water","Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review"
