"qid","Len","P31","P50","P356","P921","P1476"
"","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","Q13442814","('Valentina Radić',)","10.5194/tc-13-1051-2019","glacier","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation."
"","Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Q13442814","('Valentina Radić',)","10.3189/002214308786570809","glacier","Analysis of scaling methods in deriving future volume evolutions of valley glaciers"
"","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Q13442814","('Valentina Radić',)","10.3390/e20030207","general physics and astronomy","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures"
"","Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","Q13442814","('Valentina Radić',)","10.1017/jog.2018.68","uncertainty","Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers"
"","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Q13442814","('Valentina Radić',)","10.1175/jcli-d-11-00011.1","climate change","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America"
"","Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","Q13442814","('Valentina Radić',)","10.5194/tc-11-2897-2017","glacier","Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada"
"","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","Q13442814","('Valentina Radić',)","10.1002/2015jd023279","british columbia","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models"
"","Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula","Q13442814","('Valentina Radić',)","10.1016/j.epsl.2016.07.054","water","Future sea-level rise from tidewater and ice-shelf tributary glaciers of the Antarctic Peninsula"
"","Glacier Retreat and Pacific Salmon","Q13442814","('Valentina Radić',)","10.1093/biosci/biaa015","glacier","Glacier Retreat and Pacific Salmon"
"","GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections","Q13442814","('Valentina Radić',)","10.1017/jog.2019.22","glacier","GlacierMIP–A model intercomparison of global-scale glacier mass-balance models and projections"
