"qid","Len","P31","P50","P356","P921","P1476"
"","Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409v1","","Scientific shortcomings in environmental impact statements internationally"
"","Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409","","Scientific shortcomings in environmental impact statements internationally"
"","Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.1002/pan3.10081","","Scientific shortcomings in environmental impact statements internationally"
"","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","Annegaaike Leopold","10.1002/ieam.4385","","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS"
"","Science Is Political But Should Not Be Partisan","Q13442814","Annegaaike Leopold","10.1002/ieam.4229","","Science Is Political But Should Not Be Partisan"
"","Where to begin? Grappling with how to use participant interaction in focus group design","Q13442814","Gunilla Öberg","10.1177/1468794111433089","","Where to begin? Grappling with how to use participant interaction in focus group design"
"","Citizenshit: The Right to Flush and the Urban Sanitation Imaginary","Q13442814","Gunilla Öberg","10.1068/a130331p","","Citizenshit: The Right to Flush and the Urban Sanitation Imaginary"
"","Recycling nutrients contained in human excreta to agriculture: Pathways, processes, and products","Q13442814","Gunilla Öberg","10.1080/10643389.2018.1558889","","Recycling nutrients contained in human excreta to agriculture: Pathways, processes, and products"
"","Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers","Q13442814","Gunilla Öberg","10.2136/sssaj2010.0415","","Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers"
"","Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content","Q13442814","Gunilla Öberg","10.1021/es203191r","","Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content"
"","Mechanism of antibacterial activity of the white-rot fungus Hypholoma fasciculare colonizing wood","Q13442814","Gunilla Öberg","10.1139/w10-023","","Mechanism of antibacterial activity of the white-rot fungus Hypholoma fasciculare colonizing wood"
"","Transformation of Chloride to Organic Chlorine in Terrestrial Environments: Variability, Extent, and Implications","Q13442814","Gunilla Öberg","10.1080/10643389.2011.592753","","Transformation of Chloride to Organic Chlorine in Terrestrial Environments: Variability, Extent, and Implications"
"","Automated analysis of aspects of written argumentation","Q13442814","Gunilla Öberg","10.1145/3027385.3029484","","Automated analysis of aspects of written argumentation"
"","Science for Policy: A Case Study of Scientific Polarization, Values, and the Framing of Risk and Uncertainty","Q13442814","Gunilla Öberg","10.1111/risa.13248","","Science for Policy: A Case Study of Scientific Polarization, Values, and the Framing of Risk and Uncertainty"
"","Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada","Q13442814","Gunilla Öberg","10.2175/193864716821125556","","Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada"
"","Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge","Q13442814","Gunilla Öberg","10.1080/09500693.2018.1548044","","Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge"
"","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","Gunilla Öberg","10.1002/ieam.4385","","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS"
"","Exploring Scientists’ Values by Analyzing How They Frame Nature and Uncertainty","Q13442814","Gunilla Öberg","10.1111/risa.13701","","Exploring Scientists’ Values by Analyzing How They Frame Nature and Uncertainty"
"","Portable Chamber System for Measuring Chloroform Fluxes from Terrestrial Environments – Methodological Challenges","Q13442814","Gunilla Öberg","10.1021/es403062c","","Portable Chamber System for Measuring Chloroform Fluxes from Terrestrial Environments – Methodological Challenges"
"","Science Is Political But Should Not Be Partisan","Q13442814","Gunilla Öberg","10.1002/ieam.4229","","Science Is Political But Should Not Be Partisan"
"","Learning in focus groups","Q13442814","Gunilla Öberg","10.1177/1468794107076023","","Learning in focus groups"
"","Managing Drought Risk in the Okanagan: A Role for Dry-Year Option Contracts?","Q13442814","John Janmaat","10.3138/cpp.2017-003","","Managing Drought Risk in the Okanagan: A Role for Dry-Year Option Contracts?"
